municipio;codigo_ibge;ano;mes;valor;cid10;sistema;grupo_doenca
Araputanga;5101258;2010;1;1;T63;SIH/SUS;ANIMAIS_PECONHENTOS
Araputanga;5101258;2010;2;1;T63;SIH/SUS;ANIMAIS_PECONHENTOS
Araputanga;5101258;2010;3;2;T63;SIH/SUS;ANIMAIS_PECONHENTOS
Araputanga;5101258;2010;4;1;T63;SIH/SUS;ANIMAIS_PECONHENTOS
Araputanga;5101258;2010;9;1;T63;SIH/SUS;ANIMAIS_PECONHENTOS
Araputanga;5101258;2011;2;2;T63;SIH/SUS;ANIMAIS_PECONHENTOS
Araputanga;5101258;2011;3;1;T63;SIH/SUS;ANIMAIS_PECONHENTOS
Araputanga;5101258;2011;4;2;T63;SIH/SUS;ANIMAIS_PECONHENTOS
Araputanga;5101258;2011;5;1;T63;SIH/SUS;ANIMAIS_PECONHENTOS
Araputanga;5101258;2011;6;1;T63;SIH/SUS;ANIMAIS_PECONHENTOS
Araputanga;5101258;2011;9;1;T63;SIH/SUS;ANIMAIS_PECONHENTOS
Araputanga;5101258;2011;10;1;T63;SIH/SUS;ANIMAIS_PECONHENTOS
Araputanga;5101258;2011;12;1;T63;SIH/SUS;ANIMAIS_PECONHENTOS
Araputanga;5101258;2012;1;1;T63;SIH/SUS;ANIMAIS_PECONHENTOS
Araputanga;5101258;2012;4;3;T63;SIH/SUS;ANIMAIS_PECONHENTOS
Araputanga;5101258;2012;5;1;T63;SIH/SUS;ANIMAIS_PECONHENTOS
Araputanga;5101258;2012;10;2;T63;SIH/SUS;ANIMAIS_PECONHENTOS
Araputanga;5101258;2012;11;3;T63;SIH/SUS;ANIMAIS_PECONHENTOS
Araputanga;5101258;2012;12;1;T63;SIH/SUS;ANIMAIS_PECONHENTOS
Araputanga;5101258;2013;2;1;T63;SIH/SUS;ANIMAIS_PECONHENTOS
Araputanga;5101258;2013;3;1;T63;SIH/SUS;ANIMAIS_PECONHENTOS
Araputanga;5101258;2013;4;2;T63;SIH/SUS;ANIMAIS_PECONHENTOS
Araputanga;5101258;2013;5;2;T63;SIH/SUS;ANIMAIS_PECONHENTOS
Araputanga;5101258;2013;7;1;T63;SIH/SUS;ANIMAIS_PECONHENTOS
Araputanga;5101258;2013;8;1;T63;SIH/SUS;ANIMAIS_PECONHENTOS
Araputanga;5101258;2013;11;1;T63;SIH/SUS;ANIMAIS_PECONHENTOS
Araputanga;5101258;2014;1;1;T63;SIH/SUS;ANIMAIS_PECONHENTOS
Araputanga;5101258;2020;6;1;T63;SIH/SUS;ANIMAIS_PECONHENTOS
Araputanga;5101258;2021;7;1;T63;SIH/SUS;ANIMAIS_PECONHENTOS
Araputanga;5101258;2022;2;1;T63;SIH/SUS;ANIMAIS_PECONHENTOS
Araputanga;5101258;2022;12;1;T63;SIH/SUS;ANIMAIS_PECONHENTOS
Araputanga;5101258;2023;1;1;T63;SIH/SUS;ANIMAIS_PECONHENTOS
Araputanga;5101258;2023;5;2;T63;SIH/SUS;ANIMAIS_PECONHENTOS
Araputanga;5101258;2023;9;1;T63;SIH/SUS;ANIMAIS_PECONHENTOS
Araputanga;5101258;2024;1;2;T63;SIH/SUS;ANIMAIS_PECONHENTOS
Araputanga;5101258;2024;2;1;T63;SIH/SUS;ANIMAIS_PECONHENTOS
Araputanga;5101258;2024;3;1;T63;SIH/SUS;ANIMAIS_PECONHENTOS
Araputanga;5101258;2024;4;1;T63;SIH/SUS;ANIMAIS_PECONHENTOS
Araputanga;5101258;2024;5;1;T63;SIH/SUS;ANIMAIS_PECONHENTOS
Araputanga;5101258;2024;7;1;T63;SIH/SUS;ANIMAIS_PECONHENTOS
Cáceres;5102504;2010;1;2;T63;SIH/SUS;ANIMAIS_PECONHENTOS
Cáceres;5102504;2010;2;4;T63;SIH/SUS;ANIMAIS_PECONHENTOS
Cáceres;5102504;2010;3;1;T63;SIH/SUS;ANIMAIS_PECONHENTOS
Cáceres;5102504;2010;4;3;T63;SIH/SUS;ANIMAIS_PECONHENTOS
Cáceres;5102504;2010;5;1;T63;SIH/SUS;ANIMAIS_PECONHENTOS
Cáceres;5102504;2010;7;1;T63;SIH/SUS;ANIMAIS_PECONHENTOS
Cáceres;5102504;2010;10;1;T63;SIH/SUS;ANIMAIS_PECONHENTOS
Cáceres;5102504;2010;11;2;T63;SIH/SUS;ANIMAIS_PECONHENTOS
Cáceres;5102504;2010;12;1;T63;SIH/SUS;ANIMAIS_PECONHENTOS
Cáceres;5102504;2011;1;1;T63;SIH/SUS;ANIMAIS_PECONHENTOS
Cáceres;5102504;2011;2;6;T63;SIH/SUS;ANIMAIS_PECONHENTOS
Cáceres;5102504;2011;3;3;T63;SIH/SUS;ANIMAIS_PECONHENTOS
Cáceres;5102504;2011;4;3;T63;SIH/SUS;ANIMAIS_PECONHENTOS
Cáceres;5102504;2011;5;2;T63;SIH/SUS;ANIMAIS_PECONHENTOS
Cáceres;5102504;2011;6;3;T63;SIH/SUS;ANIMAIS_PECONHENTOS
Cáceres;5102504;2011;7;1;T63;SIH/SUS;ANIMAIS_PECONHENTOS
Cáceres;5102504;2011;10;3;T63;SIH/SUS;ANIMAIS_PECONHENTOS
Cáceres;5102504;2011;11;6;T63;SIH/SUS;ANIMAIS_PECONHENTOS
Cáceres;5102504;2011;12;3;T63;SIH/SUS;ANIMAIS_PECONHENTOS
Cáceres;5102504;2012;1;4;T63;SIH/SUS;ANIMAIS_PECONHENTOS
Cáceres;5102504;2012;2;2;T63;SIH/SUS;ANIMAIS_PECONHENTOS
Cáceres;5102504;2012;3;2;T63;SIH/SUS;ANIMAIS_PECONHENTOS
Cáceres;5102504;2012;4;5;T63;SIH/SUS;ANIMAIS_PECONHENTOS
Cáceres;5102504;2012;5;2;T63;SIH/SUS;ANIMAIS_PECONHENTOS
Cáceres;5102504;2012;6;1;T63;SIH/SUS;ANIMAIS_PECONHENTOS
Cáceres;5102504;2012;9;1;T63;SIH/SUS;ANIMAIS_PECONHENTOS
Cáceres;5102504;2012;10;3;T63;SIH/SUS;ANIMAIS_PECONHENTOS
Cáceres;5102504;2012;11;5;T63;SIH/SUS;ANIMAIS_PECONHENTOS
Cáceres;5102504;2012;12;1;T63;SIH/SUS;ANIMAIS_PECONHENTOS
Cáceres;5102504;2013;2;3;T63;SIH/SUS;ANIMAIS_PECONHENTOS
Cáceres;5102504;2013;3;5;T63;SIH/SUS;ANIMAIS_PECONHENTOS
