municipio;codigo_ibge;ano;mes;valor;cid10;sistema;grupo_doenca
Araputanga;5101258;2010;1;3;J45-J46;SIH/SUS;ASMA
Araputanga;5101258;2010;2;8;J45-J46;SIH/SUS;ASMA
Araputanga;5101258;2010;3;10;J45-J46;SIH/SUS;ASMA
Araputanga;5101258;2010;4;13;J45-J46;SIH/SUS;ASMA
Araputanga;5101258;2010;5;14;J45-J46;SIH/SUS;ASMA
Araputanga;5101258;2010;6;8;J45-J46;SIH/SUS;ASMA
Araputanga;5101258;2010;7;7;J45-J46;SIH/SUS;ASMA
Araputanga;5101258;2010;8;2;J45-J46;SIH/SUS;ASMA
Araputanga;5101258;2010;9;2;J45-J46;SIH/SUS;ASMA
Araputanga;5101258;2010;10;2;J45-J46;SIH/SUS;ASMA
Araputanga;5101258;2010;11;8;J45-J46;SIH/SUS;ASMA
Araputanga;5101258;2010;12;13;J45-J46;SIH/SUS;ASMA
Araputanga;5101258;2011;1;5;J45-J46;SIH/SUS;ASMA
Araputanga;5101258;2011;2;9;J45-J46;SIH/SUS;ASMA
Araputanga;5101258;2011;3;12;J45-J46;SIH/SUS;ASMA
Araputanga;5101258;2011;4;8;J45-J46;SIH/SUS;ASMA
Araputanga;5101258;2011;5;13;J45-J46;SIH/SUS;ASMA
Araputanga;5101258;2011;6;8;J45-J46;SIH/SUS;ASMA
Araputanga;5101258;2011;7;5;J45-J46;SIH/SUS;ASMA
Araputanga;5101258;2011;8;4;J45-J46;SIH/SUS;ASMA
Araputanga;5101258;2011;9;7;J45-J46;SIH/SUS;ASMA
Araputanga;5101258;2011;10;7;J45-J46;SIH/SUS;ASMA
Araputanga;5101258;2011;11;4;J45-J46;SIH/SUS;ASMA
Araputanga;5101258;2011;12;9;J45-J46;SIH/SUS;ASMA
Araputanga;5101258;2012;1;6;J45-J46;SIH/SUS;ASMA
Araputanga;5101258;2012;2;4;J45-J46;SIH/SUS;ASMA
Araputanga;5101258;2012;3;7;J45-J46;SIH/SUS;ASMA
Araputanga;5101258;2012;4;4;J45-J46;SIH/SUS;ASMA
Araputanga;5101258;2012;5;12;J45-J46;SIH/SUS;ASMA
Araputanga;5101258;2012;6;8;J45-J46;SIH/SUS;ASMA
Araputanga;5101258;2012;7;2;J45-J46;SIH/SUS;ASMA
Araputanga;5101258;2012;8;3;J45-J46;SIH/SUS;ASMA
Araputanga;5101258;2012;9;6;J45-J46;SIH/SUS;ASMA
Araputanga;5101258;2012;10;6;J45-J46;SIH/SUS;ASMA
Araputanga;5101258;2012;11;6;J45-J46;SIH/SUS;ASMA
Araputanga;5101258;2012;12;2;J45-J46;SIH/SUS;ASMA
Araputanga;5101258;2013;1;5;J45-J46;SIH/SUS;ASMA
Araputanga;5101258;2013;2;4;J45-J46;SIH/SUS;ASMA
Araputanga;5101258;2013;3;10;J45-J46;SIH/SUS;ASMA
Araputanga;5101258;2013;4;17;J45-J46;SIH/SUS;ASMA
Araputanga;5101258;2013;5;7;J45-J46;SIH/SUS;ASMA
Araputanga;5101258;2013;6;9;J45-J46;SIH/SUS;ASMA
Araputanga;5101258;2013;7;6;J45-J46;SIH/SUS;ASMA
Araputanga;5101258;2013;8;7;J45-J46;SIH/SUS;ASMA
Araputanga;5101258;2013;9;7;J45-J46;SIH/SUS;ASMA
Araputanga;5101258;2013;10;2;J45-J46;SIH/SUS;ASMA
Araputanga;5101258;2013;11;5;J45-J46;SIH/SUS;ASMA
Araputanga;5101258;2013;12;5;J45-J46;SIH/SUS;ASMA
Araputanga;5101258;2014;1;3;J45-J46;SIH/SUS;ASMA
Araputanga;5101258;2019;8;1;J45-J46;SIH/SUS;ASMA
Araputanga;5101258;2019;9;1;J45-J46;SIH/SUS;ASMA
Araputanga;5101258;2019;11;1;J45-J46;SIH/SUS;ASMA
Araputanga;5101258;2021;7;2;J45-J46;SIH/SUS;ASMA
Araputanga;5101258;2022;4;4;J45-J46;SIH/SUS;ASMA
Araputanga;5101258;2022;5;1;J45-J46;SIH/SUS;ASMA
Araputanga;5101258;2023;2;1;J45-J46;SIH/SUS;ASMA
Araputanga;5101258;2024;7;1;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2010;1;1;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2010;2;1;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2010;3;2;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2010;4;2;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2010;5;2;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2010;7;1;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2010;12;3;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2011;1;1;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2011;3;2;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2011;6;1;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2011;9;2;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2011;10;1;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2011;12;1;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2012;1;1;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2012;3;2;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2012;4;1;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2012;5;1;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2012;6;1;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2012;9;1;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2012;12;1;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2013;1;1;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2013;2;1;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2013;10;1;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2013;11;1;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2014;3;2;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2014;4;3;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2014;5;1;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2014;9;1;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2015;1;1;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2015;3;1;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2015;5;2;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2015;6;2;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2015;7;1;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2015;8;3;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2015;9;1;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2015;11;1;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2015;12;1;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2016;3;2;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2016;6;1;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2016;7;1;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2016;8;2;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2016;9;3;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2016;11;1;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2017;4;2;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2017;6;1;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2017;10;1;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2017;11;1;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2018;4;1;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2018;8;2;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2018;9;3;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2019;1;1;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2019;3;2;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2019;6;1;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2019;7;1;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2019;8;2;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2019;9;4;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2020;1;1;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2020;12;1;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2021;5;3;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2021;7;1;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2021;8;1;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2021;11;2;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2021;12;1;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2022;1;1;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2022;4;1;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2022;5;1;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2022;8;2;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2022;11;2;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2022;12;1;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2023;1;1;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2023;2;4;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2023;3;1;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2023;5;1;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2023;6;2;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2023;7;2;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2023;8;3;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2023;9;4;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2023;12;1;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2024;1;1;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2024;2;1;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2024;3;2;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2024;7;2;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2024;8;1;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2024;9;2;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2024;11;1;J45-J46;SIH/SUS;ASMA
Cáceres;5102504;2024;12;1;J45-J46;SIH/SUS;ASMA
Jauru;5105002;2010;3;4;J45-J46;SIH/SUS;ASMA
Jauru;5105002;2010;4;4;J45-J46;SIH/SUS;ASMA
Jauru;5105002;2010;5;3;J45-J46;SIH/SUS;ASMA
Jauru;5105002;2010;6;1;J45-J46;SIH/SUS;ASMA
Jauru;5105002;2010;7;2;J45-J46;SIH/SUS;ASMA
Jauru;5105002;2010;8;1;J45-J46;SIH/SUS;ASMA
Jauru;5105002;2010;10;2;J45-J46;SIH/SUS;ASMA
Jauru;5105002;2010;11;3;J45-J46;SIH/SUS;ASMA
Jauru;5105002;2010;12;1;J45-J46;SIH/SUS;ASMA
Jauru;5105002;2011;2;3;J45-J46;SIH/SUS;ASMA
Jauru;5105002;2011;4;6;J45-J46;SIH/SUS;ASMA
Jauru;5105002;2011;5;3;J45-J46;SIH/SUS;ASMA
Jauru;5105002;2011;6;1;J45-J46;SIH/SUS;ASMA
Jauru;5105002;2011;7;1;J45-J46;SIH/SUS;ASMA
Jauru;5105002;2011;9;1;J45-J46;SIH/SUS;ASMA
Jauru;5105002;2011;10;2;J45-J46;SIH/SUS;ASMA
Jauru;5105002;2011;11;1;J45-J46;SIH/SUS;ASMA
Jauru;5105002;2012;1;1;J45-J46;SIH/SUS;ASMA
Jauru;5105002;2012;2;2;J45-J46;SIH/SUS;ASMA
Jauru;5105002;2012;3;2;J45-J46;SIH/SUS;ASMA
Jauru;5105002;2012;4;2;J45-J46;SIH/SUS;ASMA
Jauru;5105002;2012;5;6;J45-J46;SIH/SUS;ASMA
Jauru;5105002;2012;6;6;J45-J46;SIH/SUS;ASMA
Jauru;5105002;2012;7;5;J45-J46;SIH/SUS;ASMA
Jauru;5105002;2012;8;2;J45-J46;SIH/SUS;ASMA
Jauru;5105002;2012;9;4;J45-J46;SIH/SUS;ASMA
Jauru;5105002;2012;10;3;J45-J46;SIH/SUS;ASMA
Jauru;5105002;2012;11;1;J45-J46;SIH/SUS;ASMA
Jauru;5105002;2012;12;3;J45-J46;SIH/SUS;ASMA
Jauru;5105002;2013;2;2;J45-J46;SIH/SUS;ASMA
Jauru;5105002;2013;3;4;J45-J46;SIH/SUS;ASMA
Jauru;5105002;2013;4;2;J45-J46;SIH/SUS;ASMA
Jauru;5105002;2013;5;6;J45-J46;SIH/SUS;ASMA
Jauru;5105002;2018;3;2;J45-J46;SIH/SUS;ASMA
Jauru;5105002;2018;4;2;J45-J46;SIH/SUS;ASMA
Jauru;5105002;2018;6;1;J45-J46;SIH/SUS;ASMA
Jauru;5105002;2018;11;3;J45-J46;SIH/SUS;ASMA
Jauru;5105002;2019;2;1;J45-J46;SIH/SUS;ASMA
Jauru;5105002;2019;3;1;J45-J46;SIH/SUS;ASMA
Jauru;5105002;2019;4;1;J45-J46;SIH/SUS;ASMA
Jauru;5105002;2019;5;1;J45-J46;SIH/SUS;ASMA
Jauru;5105002;2019;7;2;J45-J46;SIH/SUS;ASMA
Jauru;5105002;2019;8;1;J45-J46;SIH/SUS;ASMA
Jauru;5105002;2019;9;1;J45-J46;SIH/SUS;ASMA
Jauru;5105002;2019;10;1;J45-J46;SIH/SUS;ASMA
Jauru;5105002;2019;12;1;J45-J46;SIH/SUS;ASMA
Jauru;5105002;2020;3;1;J45-J46;SIH/SUS;ASMA
Jauru;5105002;2020;8;1;J45-J46;SIH/SUS;ASMA
Jauru;5105002;2021;5;1;J45-J46;SIH/SUS;ASMA
Jauru;5105002;2021;6;1;J45-J46;SIH/SUS;ASMA
Jauru;5105002;2021;7;1;J45-J46;SIH/SUS;ASMA
Jauru;5105002;2021;12;1;J45-J46;SIH/SUS;ASMA
Jauru;5105002;2022;5;1;J45-J46;SIH/SUS;ASMA
Jauru;5105002;2022;8;1;J45-J46;SIH/SUS;ASMA
Jauru;5105002;2022;11;1;J45-J46;SIH/SUS;ASMA
Jauru;5105002;2024;10;1;J45-J46;SIH/SUS;ASMA
Mirassol d'Oeste;5105622;2010;1;5;J45-J46;SIH/SUS;ASMA
Mirassol d'Oeste;5105622;2010;2;5;J45-J46;SIH/SUS;ASMA
Mirassol d'Oeste;5105622;2010;3;5;J45-J46;SIH/SUS;ASMA
Mirassol d'Oeste;5105622;2010;4;9;J45-J46;SIH/SUS;ASMA
Mirassol d'Oeste;5105622;2010;5;3;J45-J46;SIH/SUS;ASMA
Mirassol d'Oeste;5105622;2010;6;7;J45-J46;SIH/SUS;ASMA
Mirassol d'Oeste;5105622;2010;7;10;J45-J46;SIH/SUS;ASMA
Mirassol d'Oeste;5105622;2010;8;9;J45-J46;SIH/SUS;ASMA
Mirassol d'Oeste;5105622;2010;9;5;J45-J46;SIH/SUS;ASMA
Mirassol d'Oeste;5105622;2010;10;5;J45-J46;SIH/SUS;ASMA
Mirassol d'Oeste;5105622;2010;11;6;J45-J46;SIH/SUS;ASMA
Mirassol d'Oeste;5105622;2010;12;6;J45-J46;SIH/SUS;ASMA
Mirassol d'Oeste;5105622;2011;1;5;J45-J46;SIH/SUS;ASMA
Mirassol d'Oeste;5105622;2011;2;2;J45-J46;SIH/SUS;ASMA
Mirassol d'Oeste;5105622;2011;3;4;J45-J46;SIH/SUS;ASMA
Mirassol d'Oeste;5105622;2011;4;4;J45-J46;SIH/SUS;ASMA
Mirassol d'Oeste;5105622;2011;5;8;J45-J46;SIH/SUS;ASMA
Mirassol d'Oeste;5105622;2011;6;9;J45-J46;SIH/SUS;ASMA
Mirassol d'Oeste;5105622;2011;7;4;J45-J46;SIH/SUS;ASMA
Mirassol d'Oeste;5105622;2011;8;5;J45-J46;SIH/SUS;ASMA
Mirassol d'Oeste;5105622;2011;9;3;J45-J46;SIH/SUS;ASMA
