municipio;codigo_ibge;ano;mes;valor;cid10;sistema;grupo_doenca
Araputanga;5101258;2010;1;9;I00-I99;SIH/SUS;CARDIOVASCULAR
Araputanga;5101258;2010;2;6;I00-I99;SIH/SUS;CARDIOVASCULAR
Araputanga;5101258;2010;3;6;I00-I99;SIH/SUS;CARDIOVASCULAR
Araputanga;5101258;2010;4;2;I00-I99;SIH/SUS;CARDIOVASCULAR
Araputanga;5101258;2010;5;4;I00-I99;SIH/SUS;CARDIOVASCULAR
Araputanga;5101258;2010;6;2;I00-I99;SIH/SUS;CARDIOVASCULAR
Araputanga;5101258;2010;7;4;I00-I99;SIH/SUS;CARDIOVASCULAR
Araputanga;5101258;2010;8;4;I00-I99;SIH/SUS;CARDIOVASCULAR
Araputanga;5101258;2010;9;5;I00-I99;SIH/SUS;CARDIOVASCULAR
Araputanga;5101258;2010;11;2;I00-I99;SIH/SUS;CARDIOVASCULAR
Araputanga;5101258;2010;12;6;I00-I99;SIH/SUS;CARDIOVASCULAR
Araputanga;5101258;2011;1;1;I00-I99;SIH/SUS;CARDIOVASCULAR
Araputanga;5101258;2011;2;2;I00-I99;SIH/SUS;CARDIOVASCULAR
Araputanga;5101258;2011;3;1;I00-I99;SIH/SUS;CARDIOVASCULAR
Araputanga;5101258;2011;4;3;I00-I99;SIH/SUS;CARDIOVASCULAR
Araputanga;5101258;2011;5;3;I00-I99;SIH/SUS;CARDIOVASCULAR
Araputanga;5101258;2011;6;5;I00-I99;SIH/SUS;CARDIOVASCULAR
Araputanga;5101258;2011;7;8;I00-I99;SIH/SUS;CARDIOVASCULAR
Araputanga;5101258;2011;8;4;I00-I99;SIH/SUS;CARDIOVASCULAR
Araputanga;5101258;2011;9;8;I00-I99;SIH/SUS;CARDIOVASCULAR
Araputanga;5101258;2011;10;7;I00-I99;SIH/SUS;CARDIOVASCULAR
Araputanga;5101258;2011;11;7;I00-I99;SIH/SUS;CARDIOVASCULAR
Araputanga;5101258;2011;12;1;I00-I99;SIH/SUS;CARDIOVASCULAR
Araputanga;5101258;2012;1;5;I00-I99;SIH/SUS;CARDIOVASCULAR
Araputanga;5101258;2012;2;3;I00-I99;SIH/SUS;CARDIOVASCULAR
Araputanga;5101258;2012;3;7;I00-I99;SIH/SUS;CARDIOVASCULAR
Araputanga;5101258;2012;4;4;I00-I99;SIH/SUS;CARDIOVASCULAR
Araputanga;5101258;2012;5;3;I00-I99;SIH/SUS;CARDIOVASCULAR
Araputanga;5101258;2012;6;3;I00-I99;SIH/SUS;CARDIOVASCULAR
Araputanga;5101258;2012;7;4;I00-I99;SIH/SUS;CARDIOVASCULAR
Araputanga;5101258;2012;8;4;I00-I99;SIH/SUS;CARDIOVASCULAR
Araputanga;5101258;2012;9;4;I00-I99;SIH/SUS;CARDIOVASCULAR
Araputanga;5101258;2012;10;5;I00-I99;SIH/SUS;CARDIOVASCULAR
Araputanga;5101258;2012;11;7;I00-I99;SIH/SUS;CARDIOVASCULAR
