municipio;codigo_ibge;ano;mes;valor;cid10;sistema;grupo_doenca
Araputanga;5101258;2010;0;27;I00-I99;SIM/DO;CARDIOVASCULAR
Araputanga;5101258;2011;0;19;I00-I99;SIM/DO;CARDIOVASCULAR
Araputanga;5101258;2012;0;29;I00-I99;SIM/DO;CARDIOVASCULAR
Araputanga;5101258;2013;0;19;I00-I99;SIM/DO;CARDIOVASCULAR
Araputanga;5101258;2014;0;17;I00-I99;SIM/DO;CARDIOVASCULAR
Araputanga;5101258;2015;0;34;I00-I99;SIM/DO;CARDIOVASCULAR
Araputanga;5101258;2016;0;28;I00-I99;SIM/DO;CARDIOVASCULAR
Araputanga;5101258;2017;0;21;I00-I99;SIM/DO;CARDIOVASCULAR
Araputanga;5101258;2018;0;19;I00-I99;SIM/DO;CARDIOVASCULAR
Araputanga;5101258;2019;0;20;I00-I99;SIM/DO;CARDIOVASCULAR
Araputanga;5101258;2020;0;23;I00-I99;SIM/DO;CARDIOVASCULAR
Araputanga;5101258;2021;0;19;I00-I99;SIM/DO;CARDIOVASCULAR
Araputanga;5101258;2022;0;32;I00-I99;SIM/DO;CARDIOVASCULAR
Araputanga;5101258;2023;0;24;I00-I99;SIM/DO;CARDIOVASCULAR
Araputanga;5101258;2024;0;23;I00-I99;SIM/DO;CARDIOVASCULAR
Cáceres;5102504;2010;0;142;I00-I99;SIM/DO;CARDIOVASCULAR
Cáceres;5102504;2011;0;142;I00-I99;SIM/DO;CARDIOVASCULAR
Cáceres;5102504;2012;0;174;I00-I99;SIM/DO;CARDIOVASCULAR
Cáceres;5102504;2013;0;180;I00-I99;SIM/DO;CARDIOVASCULAR
Cáceres;5102504;2014;0;192;I00-I99;SIM/DO;CARDIOVASCULAR
Cáceres;5102504;2015;0;208;I00-I99;SIM/DO;CARDIOVASCULAR
Cáceres;5102504;2016;0;186;I00-I99;SIM/DO;CARDIOVASCULAR
Cáceres;5102504;2017;0;153;I00-I99;SIM/DO;CARDIOVASCULAR
Cáceres;5102504;2018;0;202;I00-I99;SIM/DO;CARDIOVASCULAR
Cáceres;5102504;2019;0;133;I00-I99;SIM/DO;CARDIOVASCULAR
Cáceres;5102504;2020;0;158;I00-I99;SIM/DO;CARDIOVASCULAR
Cáceres;5102504;2021;0;163;I00-I99;SIM/DO;CARDIOVASCULAR
Cáceres;5102504;2022;0;175;I00-I99;SIM/DO;CARDIOVASCULAR
Cáceres;5102504;2023;0;181;I00-I99;SIM/DO;CARDIOVASCULAR
Cáceres;5102504;2024;0;176;I00-I99;SIM/DO;CARDIOVASCULAR
Curvelândia;5103437;2010;0;12;I00-I99;SIM/DO;CARDIOVASCULAR
Curvelândia;5103437;2011;0;9;I00-I99;SIM/DO;CARDIOVASCULAR
