municipio;codigo_ibge;ano;mes;valor;cid10;sistema;grupo_doenca
Araputanga;5101258;2012;12;1;V01-Y98;SIH/SUS;CAUSAS-EXTERNAS
Araputanga;5101258;2013;3;1;V01-Y98;SIH/SUS;CAUSAS-EXTERNAS
Araputanga;5101258;2014;9;1;V01-Y98;SIH/SUS;CAUSAS-EXTERNAS
Cáceres;5102504;2010;3;1;V01-Y98;SIH/SUS;CAUSAS-EXTERNAS
Cáceres;5102504;2011;10;1;V01-Y98;SIH/SUS;CAUSAS-EXTERNAS
Cáceres;5102504;2012;2;2;V01-Y98;SIH/SUS;CAUSAS-EXTERNAS
Cáceres;5102504;2012;4;1;V01-Y98;SIH/SUS;CAUSAS-EXTERNAS
Cáceres;5102504;2012;7;1;V01-Y98;SIH/SUS;CAUSAS-EXTERNAS
Cáceres;5102504;2012;11;1;V01-Y98;SIH/SUS;CAUSAS-EXTERNAS
Cáceres;5102504;2012;12;1;V01-Y98;SIH/SUS;CAUSAS-EXTERNAS
Cáceres;5102504;2013;3;1;V01-Y98;SIH/SUS;CAUSAS-EXTERNAS
Cáceres;5102504;2013;5;2;V01-Y98;SIH/SUS;CAUSAS-EXTERNAS
Cáceres;5102504;2014;4;1;V01-Y98;SIH/SUS;CAUSAS-EXTERNAS
Cáceres;5102504;2014;7;1;V01-Y98;SIH/SUS;CAUSAS-EXTERNAS
Cáceres;5102504;2014;8;2;V01-Y98;SIH/SUS;CAUSAS-EXTERNAS
Cáceres;5102504;2014;11;2;V01-Y98;SIH/SUS;CAUSAS-EXTERNAS
Cáceres;5102504;2014;12;1;V01-Y98;SIH/SUS;CAUSAS-EXTERNAS
Cáceres;5102504;2015;1;1;V01-Y98;SIH/SUS;CAUSAS-EXTERNAS
Cáceres;5102504;2015;4;3;V01-Y98;SIH/SUS;CAUSAS-EXTERNAS
Curvelândia;5103437;2013;11;1;V01-Y98;SIH/SUS;CAUSAS-EXTERNAS
Figueirópolis d'Oeste;5103809;2015;4;1;V01-Y98;SIH/SUS;CAUSAS-EXTERNAS
Mirassol d'Oeste;5105622;2011;9;1;V01-Y98;SIH/SUS;CAUSAS-EXTERNAS
Mirassol d'Oeste;5105622;2011;12;1;V01-Y98;SIH/SUS;CAUSAS-EXTERNAS
Mirassol d'Oeste;5105622;2013;3;1;V01-Y98;SIH/SUS;CAUSAS-EXTERNAS
Mirassol d'Oeste;5105622;2013;4;1;V01-Y98;SIH/SUS;CAUSAS-EXTERNAS
Mirassol d'Oeste;5105622;2014;4;1;V01-Y98;SIH/SUS;CAUSAS-EXTERNAS
Mirassol d'Oeste;5105622;2014;10;1;V01-Y98;SIH/SUS;CAUSAS-EXTERNAS
Mirassol d'Oeste;5105622;2014;11;1;V01-Y98;SIH/SUS;CAUSAS-EXTERNAS
Porto Esperidião;5106828;2012;10;1;V01-Y98;SIH/SUS;CAUSAS-EXTERNAS
Porto Esperidião;5106828;2013;2;1;V01-Y98;SIH/SUS;CAUSAS-EXTERNAS
Porto Esperidião;5106828;2013;8;1;V01-Y98;SIH/SUS;CAUSAS-EXTERNAS
Porto Esperidião;5106828;2014;10;1;V01-Y98;SIH/SUS;CAUSAS-EXTERNAS
Porto Esperidião;5106828;2015;3;1;V01-Y98;SIH/SUS;CAUSAS-EXTERNAS
São José dos Quatro Marcos;5107107;2013;1;1;V01-Y98;SIH/SUS;CAUSAS-EXTERNAS
São José dos Quatro Marcos;5107107;2013;3;1;V01-Y98;SIH/SUS;CAUSAS-EXTERNAS
São José dos Quatro Marcos;5107107;2013;6;1;V01-Y98;SIH/SUS;CAUSAS-EXTERNAS
São José dos Quatro Marcos;5107107;2014;10;1;V01-Y98;SIH/SUS;CAUSAS-EXTERNAS
São José dos Quatro Marcos;5107107;2014;11;2;V01-Y98;SIH/SUS;CAUSAS-EXTERNAS
Reserva do Cabaçal;5107156;2015;4;1;V01-Y98;SIH/SUS;CAUSAS-EXTERNAS
Rio Branco;5107208;2013;8;1;V01-Y98;SIH/SUS;CAUSAS-EXTERNAS
