municipio;codigo_ibge;ano;mes;valor;cid10;sistema;grupo_doenca
Araputanga;5101258;2010;0;19;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Araputanga;5101258;2011;0;14;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Araputanga;5101258;2012;0;15;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Araputanga;5101258;2013;0;6;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Araputanga;5101258;2014;0;7;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Araputanga;5101258;2015;0;13;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Araputanga;5101258;2016;0;14;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Araputanga;5101258;2017;0;13;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Araputanga;5101258;2018;0;14;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Araputanga;5101258;2019;0;12;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Araputanga;5101258;2020;0;12;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Araputanga;5101258;2021;0;17;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Araputanga;5101258;2022;0;15;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Araputanga;5101258;2023;0;13;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Araputanga;5101258;2024;0;19;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Cáceres;5102504;2010;0;54;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Cáceres;5102504;2011;0;64;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Cáceres;5102504;2012;0;71;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Cáceres;5102504;2013;0;65;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Cáceres;5102504;2014;0;90;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Cáceres;5102504;2015;0;66;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Cáceres;5102504;2016;0;76;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Cáceres;5102504;2017;0;75;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Cáceres;5102504;2018;0;69;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Cáceres;5102504;2019;0;63;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Cáceres;5102504;2020;0;69;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Cáceres;5102504;2021;0;79;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Cáceres;5102504;2022;0;118;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Cáceres;5102504;2023;0;115;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Cáceres;5102504;2024;0;93;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Curvelândia;5103437;2010;0;6;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Curvelândia;5103437;2011;0;4;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Curvelândia;5103437;2012;0;12;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Curvelândia;5103437;2013;0;7;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Curvelândia;5103437;2014;0;4;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Curvelândia;5103437;2015;0;4;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Curvelândia;5103437;2016;0;4;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Curvelândia;5103437;2017;0;2;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Curvelândia;5103437;2018;0;2;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Curvelândia;5103437;2019;0;6;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Curvelândia;5103437;2020;0;4;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Curvelândia;5103437;2021;0;4;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Curvelândia;5103437;2022;0;12;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Curvelândia;5103437;2023;0;7;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Curvelândia;5103437;2024;0;10;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Figueirópolis d'Oeste;5103809;2010;0;1;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Figueirópolis d'Oeste;5103809;2011;0;5;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Figueirópolis d'Oeste;5103809;2012;0;2;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Figueirópolis d'Oeste;5103809;2013;0;2;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Figueirópolis d'Oeste;5103809;2014;0;4;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Figueirópolis d'Oeste;5103809;2015;0;1;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Figueirópolis d'Oeste;5103809;2017;0;3;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Figueirópolis d'Oeste;5103809;2018;0;2;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Figueirópolis d'Oeste;5103809;2019;0;1;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Figueirópolis d'Oeste;5103809;2020;0;1;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Figueirópolis d'Oeste;5103809;2021;0;4;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Figueirópolis d'Oeste;5103809;2022;0;1;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Figueirópolis d'Oeste;5103809;2023;0;2;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Figueirópolis d'Oeste;5103809;2024;0;3;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Glória d'Oeste;5103957;2010;0;1;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Glória d'Oeste;5103957;2011;0;2;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Glória d'Oeste;5103957;2012;0;3;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Glória d'Oeste;5103957;2013;0;3;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Glória d'Oeste;5103957;2014;0;2;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Glória d'Oeste;5103957;2015;0;4;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Glória d'Oeste;5103957;2016;0;1;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Glória d'Oeste;5103957;2017;0;3;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Glória d'Oeste;5103957;2018;0;3;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Glória d'Oeste;5103957;2019;0;2;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Glória d'Oeste;5103957;2020;0;1;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Glória d'Oeste;5103957;2021;0;4;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Glória d'Oeste;5103957;2022;0;8;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Glória d'Oeste;5103957;2023;0;5;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Glória d'Oeste;5103957;2024;0;10;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Indiavaí;5104500;2010;0;1;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Indiavaí;5104500;2012;0;1;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Indiavaí;5104500;2013;0;2;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Indiavaí;5104500;2015;0;2;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Indiavaí;5104500;2016;0;2;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Indiavaí;5104500;2017;0;2;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Indiavaí;5104500;2018;0;1;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Indiavaí;5104500;2019;0;1;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Indiavaí;5104500;2020;0;2;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Indiavaí;5104500;2021;0;1;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Indiavaí;5104500;2023;0;2;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Indiavaí;5104500;2024;0;1;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Jauru;5105002;2010;0;8;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Jauru;5105002;2011;0;8;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Jauru;5105002;2012;0;7;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Jauru;5105002;2013;0;5;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Jauru;5105002;2014;0;5;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Jauru;5105002;2015;0;4;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Jauru;5105002;2016;0;4;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Jauru;5105002;2017;0;4;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Jauru;5105002;2018;0;5;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Jauru;5105002;2019;0;7;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Jauru;5105002;2020;0;3;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
Jauru;5105002;2021;0;3;V01-Y98;SIM/DO;CAUSAS-EXTERNAS
