municipio;codigo_ibge;ano;mes;valor;cid10;sistema;grupo_doenca
Araputanga;5101258;2010;1;19;A90-A99;SIH/SUS;DENGUE
Araputanga;5101258;2010;2;8;A90-A99;SIH/SUS;DENGUE
Araputanga;5101258;2010;3;4;A90-A99;SIH/SUS;DENGUE
Araputanga;5101258;2010;5;1;A90-A99;SIH/SUS;DENGUE
Araputanga;5101258;2011;1;1;A90-A99;SIH/SUS;DENGUE
Araputanga;5101258;2011;6;1;A90-A99;SIH/SUS;DENGUE
Araputanga;5101258;2012;2;1;A90-A99;SIH/SUS;DENGUE
Araputanga;5101258;2012;4;6;A90-A99;SIH/SUS;DENGUE
Araputanga;5101258;2012;5;11;A90-A99;SIH/SUS;DENGUE
Araputanga;5101258;2012;6;1;A90-A99;SIH/SUS;DENGUE
Araputanga;5101258;2013;1;2;A90-A99;SIH/SUS;DENGUE
Araputanga;5101258;2013;2;2;A90-A99;SIH/SUS;DENGUE
Araputanga;5101258;2013;4;1;A90-A99;SIH/SUS;DENGUE
Araputanga;5101258;2013;11;1;A90-A99;SIH/SUS;DENGUE
Araputanga;5101258;2014;1;1;A90-A99;SIH/SUS;DENGUE
Araputanga;5101258;2015;8;1;A90-A99;SIH/SUS;DENGUE
Araputanga;5101258;2019;12;1;A90-A99;SIH/SUS;DENGUE
Araputanga;5101258;2020;2;3;A90-A99;SIH/SUS;DENGUE
Araputanga;5101258;2021;2;1;A90-A99;SIH/SUS;DENGUE
Araputanga;5101258;2021;5;1;A90-A99;SIH/SUS;DENGUE
Araputanga;5101258;2022;2;1;A90-A99;SIH/SUS;DENGUE
Araputanga;5101258;2022;4;1;A90-A99;SIH/SUS;DENGUE
Araputanga;5101258;2022;10;2;A90-A99;SIH/SUS;DENGUE
Araputanga;5101258;2023;4;1;A90-A99;SIH/SUS;DENGUE
Araputanga;5101258;2023;8;2;A90-A99;SIH/SUS;DENGUE
Araputanga;5101258;2023;10;1;A90-A99;SIH/SUS;DENGUE
Araputanga;5101258;2023;11;1;A90-A99;SIH/SUS;DENGUE
Araputanga;5101258;2023;12;1;A90-A99;SIH/SUS;DENGUE
Araputanga;5101258;2024;3;2;A90-A99;SIH/SUS;DENGUE
