municipio;codigo_ibge;ano;mes;valor;cid10;sistema;grupo_doenca
Araputanga;5101258;2015;11;1;E40-E46;SIH/SUS;DESNUTRICAO
Araputanga;5101258;2021;3;1;E40-E46;SIH/SUS;DESNUTRICAO
Araputanga;5101258;2021;8;1;E40-E46;SIH/SUS;DESNUTRICAO
Araputanga;5101258;2021;9;2;E40-E46;SIH/SUS;DESNUTRICAO
Araputanga;5101258;2024;1;2;E40-E46;SIH/SUS;DESNUTRICAO
Araputanga;5101258;2024;7;1;E40-E46;SIH/SUS;DESNUTRICAO
Araputanga;5101258;2024;12;1;E40-E46;SIH/SUS;DESNUTRICAO
Cáceres;5102504;2010;1;5;E40-E46;SIH/SUS;DESNUTRICAO
Cáceres;5102504;2010;2;3;E40-E46;SIH/SUS;DESNUTRICAO
Cáceres;5102504;2010;3;5;E40-E46;SIH/SUS;DESNUTRICAO
Cáceres;5102504;2010;4;1;E40-E46;SIH/SUS;DESNUTRICAO
Cáceres;5102504;2010;5;4;E40-E46;SIH/SUS;DESNUTRICAO
Cáceres;5102504;2010;6;3;E40-E46;SIH/SUS;DESNUTRICAO
Cáceres;5102504;2010;7;3;E40-E46;SIH/SUS;DESNUTRICAO
Cáceres;5102504;2010;8;4;E40-E46;SIH/SUS;DESNUTRICAO
Cáceres;5102504;2010;9;2;E40-E46;SIH/SUS;DESNUTRICAO
Cáceres;5102504;2010;11;1;E40-E46;SIH/SUS;DESNUTRICAO
Cáceres;5102504;2010;12;1;E40-E46;SIH/SUS;DESNUTRICAO
Cáceres;5102504;2011;2;2;E40-E46;SIH/SUS;DESNUTRICAO
Cáceres;5102504;2011;3;2;E40-E46;SIH/SUS;DESNUTRICAO
Cáceres;5102504;2011;4;3;E40-E46;SIH/SUS;DESNUTRICAO
Cáceres;5102504;2011;5;1;E40-E46;SIH/SUS;DESNUTRICAO
Cáceres;5102504;2011;6;8;E40-E46;SIH/SUS;DESNUTRICAO
Cáceres;5102504;2011;7;2;E40-E46;SIH/SUS;DESNUTRICAO
Cáceres;5102504;2011;8;2;E40-E46;SIH/SUS;DESNUTRICAO
Cáceres;5102504;2011;9;1;E40-E46;SIH/SUS;DESNUTRICAO
Cáceres;5102504;2011;10;2;E40-E46;SIH/SUS;DESNUTRICAO
Cáceres;5102504;2011;11;3;E40-E46;SIH/SUS;DESNUTRICAO
Cáceres;5102504;2012;1;2;E40-E46;SIH/SUS;DESNUTRICAO
Cáceres;5102504;2012;4;1;E40-E46;SIH/SUS;DESNUTRICAO
Cáceres;5102504;2012;5;2;E40-E46;SIH/SUS;DESNUTRICAO
Cáceres;5102504;2012;7;3;E40-E46;SIH/SUS;DESNUTRICAO
Cáceres;5102504;2012;12;1;E40-E46;SIH/SUS;DESNUTRICAO
Cáceres;5102504;2013;2;3;E40-E46;SIH/SUS;DESNUTRICAO
Cáceres;5102504;2013;4;1;E40-E46;SIH/SUS;DESNUTRICAO
Cáceres;5102504;2013;7;1;E40-E46;SIH/SUS;DESNUTRICAO
Cáceres;5102504;2013;9;1;E40-E46;SIH/SUS;DESNUTRICAO
Cáceres;5102504;2013;11;1;E40-E46;SIH/SUS;DESNUTRICAO
Cáceres;5102504;2013;12;1;E40-E46;SIH/SUS;DESNUTRICAO
Cáceres;5102504;2014;1;2;E40-E46;SIH/SUS;DESNUTRICAO
Cáceres;5102504;2014;2;1;E40-E46;SIH/SUS;DESNUTRICAO
Cáceres;5102504;2014;3;2;E40-E46;SIH/SUS;DESNUTRICAO
Cáceres;5102504;2014;5;4;E40-E46;SIH/SUS;DESNUTRICAO
Cáceres;5102504;2014;6;1;E40-E46;SIH/SUS;DESNUTRICAO
Cáceres;5102504;2014;8;1;E40-E46;SIH/SUS;DESNUTRICAO
Cáceres;5102504;2014;9;5;E40-E46;SIH/SUS;DESNUTRICAO
Cáceres;5102504;2014;10;1;E40-E46;SIH/SUS;DESNUTRICAO
Cáceres;5102504;2014;11;1;E40-E46;SIH/SUS;DESNUTRICAO
Cáceres;5102504;2014;12;1;E40-E46;SIH/SUS;DESNUTRICAO
Cáceres;5102504;2015;2;1;E40-E46;SIH/SUS;DESNUTRICAO
Cáceres;5102504;2015;3;2;E40-E46;SIH/SUS;DESNUTRICAO
Cáceres;5102504;2015;4;1;E40-E46;SIH/SUS;DESNUTRICAO
Cáceres;5102504;2015;9;1;E40-E46;SIH/SUS;DESNUTRICAO
Cáceres;5102504;2015;11;2;E40-E46;SIH/SUS;DESNUTRICAO
Cáceres;5102504;2015;12;1;E40-E46;SIH/SUS;DESNUTRICAO
Cáceres;5102504;2016;1;2;E40-E46;SIH/SUS;DESNUTRICAO
Cáceres;5102504;2016;2;1;E40-E46;SIH/SUS;DESNUTRICAO
Cáceres;5102504;2016;3;1;E40-E46;SIH/SUS;DESNUTRICAO
Cáceres;5102504;2016;4;2;E40-E46;SIH/SUS;DESNUTRICAO
Cáceres;5102504;2016;5;1;E40-E46;SIH/SUS;DESNUTRICAO
Cáceres;5102504;2016;6;2;E40-E46;SIH/SUS;DESNUTRICAO
Cáceres;5102504;2016;8;1;E40-E46;SIH/SUS;DESNUTRICAO
Cáceres;5102504;2016;9;2;E40-E46;SIH/SUS;DESNUTRICAO
Cáceres;5102504;2016;10;1;E40-E46;SIH/SUS;DESNUTRICAO
Cáceres;5102504;2016;11;1;E40-E46;SIH/SUS;DESNUTRICAO
Cáceres;5102504;2016;12;1;E40-E46;SIH/SUS;DESNUTRICAO
Cáceres;5102504;2017;1;2;E40-E46;SIH/SUS;DESNUTRICAO
Cáceres;5102504;2017;2;2;E40-E46;SIH/SUS;DESNUTRICAO
Cáceres;5102504;2017;3;1;E40-E46;SIH/SUS;DESNUTRICAO
Cáceres;5102504;2017;6;1;E40-E46;SIH/SUS;DESNUTRICAO
Cáceres;5102504;2017;7;1;E40-E46;SIH/SUS;DESNUTRICAO
