municipio;codigo_ibge;ano;mes;valor;cid10;sistema;grupo_doenca
Araputanga;5101258;2010;0;4;E40-E46;SIM/DO;DESNUTRICAO
Araputanga;5101258;2011;0;4;E40-E46;SIM/DO;DESNUTRICAO
Araputanga;5101258;2012;0;2;E40-E46;SIM/DO;DESNUTRICAO
Araputanga;5101258;2013;0;3;E40-E46;SIM/DO;DESNUTRICAO
Araputanga;5101258;2014;0;4;E40-E46;SIM/DO;DESNUTRICAO
Araputanga;5101258;2015;0;3;E40-E46;SIM/DO;DESNUTRICAO
Araputanga;5101258;2016;0;9;E40-E46;SIM/DO;DESNUTRICAO
Araputanga;5101258;2017;0;7;E40-E46;SIM/DO;DESNUTRICAO
Araputanga;5101258;2018;0;6;E40-E46;SIM/DO;DESNUTRICAO
Araputanga;5101258;2019;0;9;E40-E46;SIM/DO;DESNUTRICAO
Araputanga;5101258;2020;0;11;E40-E46;SIM/DO;DESNUTRICAO
Araputanga;5101258;2021;0;10;E40-E46;SIM/DO;DESNUTRICAO
Araputanga;5101258;2022;0;13;E40-E46;SIM/DO;DESNUTRICAO
Araputanga;5101258;2023;0;9;E40-E46;SIM/DO;DESNUTRICAO
Araputanga;5101258;2024;0;16;E40-E46;SIM/DO;DESNUTRICAO
Cáceres;5102504;2010;0;36;E40-E46;SIM/DO;DESNUTRICAO
Cáceres;5102504;2011;0;48;E40-E46;SIM/DO;DESNUTRICAO
Cáceres;5102504;2012;0;41;E40-E46;SIM/DO;DESNUTRICAO
Cáceres;5102504;2013;0;38;E40-E46;SIM/DO;DESNUTRICAO
Cáceres;5102504;2014;0;25;E40-E46;SIM/DO;DESNUTRICAO
Cáceres;5102504;2015;0;33;E40-E46;SIM/DO;DESNUTRICAO
Cáceres;5102504;2016;0;41;E40-E46;SIM/DO;DESNUTRICAO
Cáceres;5102504;2017;0;39;E40-E46;SIM/DO;DESNUTRICAO
Cáceres;5102504;2018;0;38;E40-E46;SIM/DO;DESNUTRICAO
Cáceres;5102504;2019;0;45;E40-E46;SIM/DO;DESNUTRICAO
Cáceres;5102504;2020;0;61;E40-E46;SIM/DO;DESNUTRICAO
Cáceres;5102504;2021;0;48;E40-E46;SIM/DO;DESNUTRICAO
Cáceres;5102504;2022;0;59;E40-E46;SIM/DO;DESNUTRICAO
Cáceres;5102504;2023;0;67;E40-E46;SIM/DO;DESNUTRICAO
Cáceres;5102504;2024;0;77;E40-E46;SIM/DO;DESNUTRICAO
Curvelândia;5103437;2010;0;1;E40-E46;SIM/DO;DESNUTRICAO
Curvelândia;5103437;2011;0;1;E40-E46;SIM/DO;DESNUTRICAO
Curvelândia;5103437;2012;0;1;E40-E46;SIM/DO;DESNUTRICAO
Curvelândia;5103437;2013;0;1;E40-E46;SIM/DO;DESNUTRICAO
Curvelândia;5103437;2014;0;1;E40-E46;SIM/DO;DESNUTRICAO
Curvelândia;5103437;2015;0;3;E40-E46;SIM/DO;DESNUTRICAO
Curvelândia;5103437;2017;0;3;E40-E46;SIM/DO;DESNUTRICAO
Curvelândia;5103437;2018;0;3;E40-E46;SIM/DO;DESNUTRICAO
Curvelândia;5103437;2019;0;2;E40-E46;SIM/DO;DESNUTRICAO
Curvelândia;5103437;2020;0;1;E40-E46;SIM/DO;DESNUTRICAO
Curvelândia;5103437;2021;0;1;E40-E46;SIM/DO;DESNUTRICAO
Curvelândia;5103437;2023;0;1;E40-E46;SIM/DO;DESNUTRICAO
Curvelândia;5103437;2024;0;4;E40-E46;SIM/DO;DESNUTRICAO
Figueirópolis d'Oeste;5103809;2012;0;2;E40-E46;SIM/DO;DESNUTRICAO
Figueirópolis d'Oeste;5103809;2013;0;4;E40-E46;SIM/DO;DESNUTRICAO
Figueirópolis d'Oeste;5103809;2017;0;1;E40-E46;SIM/DO;DESNUTRICAO
Figueirópolis d'Oeste;5103809;2019;0;1;E40-E46;SIM/DO;DESNUTRICAO
Figueirópolis d'Oeste;5103809;2020;0;4;E40-E46;SIM/DO;DESNUTRICAO
Figueirópolis d'Oeste;5103809;2021;0;1;E40-E46;SIM/DO;DESNUTRICAO
Figueirópolis d'Oeste;5103809;2022;0;2;E40-E46;SIM/DO;DESNUTRICAO
Figueirópolis d'Oeste;5103809;2023;0;2;E40-E46;SIM/DO;DESNUTRICAO
Glória d'Oeste;5103957;2010;0;1;E40-E46;SIM/DO;DESNUTRICAO
Glória d'Oeste;5103957;2011;0;2;E40-E46;SIM/DO;DESNUTRICAO
Glória d'Oeste;5103957;2012;0;1;E40-E46;SIM/DO;DESNUTRICAO
Glória d'Oeste;5103957;2013;0;1;E40-E46;SIM/DO;DESNUTRICAO
Glória d'Oeste;5103957;2014;0;2;E40-E46;SIM/DO;DESNUTRICAO
Glória d'Oeste;5103957;2016;0;3;E40-E46;SIM/DO;DESNUTRICAO
Glória d'Oeste;5103957;2018;0;1;E40-E46;SIM/DO;DESNUTRICAO
Glória d'Oeste;5103957;2019;0;1;E40-E46;SIM/DO;DESNUTRICAO
Glória d'Oeste;5103957;2020;0;3;E40-E46;SIM/DO;DESNUTRICAO
Glória d'Oeste;5103957;2021;0;5;E40-E46;SIM/DO;DESNUTRICAO
Glória d'Oeste;5103957;2022;0;2;E40-E46;SIM/DO;DESNUTRICAO
Glória d'Oeste;5103957;2023;0;3;E40-E46;SIM/DO;DESNUTRICAO
Glória d'Oeste;5103957;2024;0;2;E40-E46;SIM/DO;DESNUTRICAO
Indiavaí;5104500;2010;0;1;E40-E46;SIM/DO;DESNUTRICAO
Indiavaí;5104500;2011;0;1;E40-E46;SIM/DO;DESNUTRICAO
Indiavaí;5104500;2013;0;1;E40-E46;SIM/DO;DESNUTRICAO
Indiavaí;5104500;2017;0;1;E40-E46;SIM/DO;DESNUTRICAO
Indiavaí;5104500;2018;0;3;E40-E46;SIM/DO;DESNUTRICAO
Indiavaí;5104500;2020;0;1;E40-E46;SIM/DO;DESNUTRICAO
Indiavaí;5104500;2021;0;1;E40-E46;SIM/DO;DESNUTRICAO
Indiavaí;5104500;2023;0;1;E40-E46;SIM/DO;DESNUTRICAO
Indiavaí;5104500;2024;0;2;E40-E46;SIM/DO;DESNUTRICAO
Jauru;5105002;2010;0;7;E40-E46;SIM/DO;DESNUTRICAO
Jauru;5105002;2011;0;2;E40-E46;SIM/DO;DESNUTRICAO
Jauru;5105002;2012;0;3;E40-E46;SIM/DO;DESNUTRICAO
Jauru;5105002;2013;0;3;E40-E46;SIM/DO;DESNUTRICAO
Jauru;5105002;2014;0;4;E40-E46;SIM/DO;DESNUTRICAO
Jauru;5105002;2015;0;5;E40-E46;SIM/DO;DESNUTRICAO
Jauru;5105002;2016;0;4;E40-E46;SIM/DO;DESNUTRICAO
Jauru;5105002;2017;0;4;E40-E46;SIM/DO;DESNUTRICAO
Jauru;5105002;2018;0;5;E40-E46;SIM/DO;DESNUTRICAO
Jauru;5105002;2019;0;5;E40-E46;SIM/DO;DESNUTRICAO
Jauru;5105002;2020;0;4;E40-E46;SIM/DO;DESNUTRICAO
Jauru;5105002;2021;0;2;E40-E46;SIM/DO;DESNUTRICAO
Jauru;5105002;2022;0;3;E40-E46;SIM/DO;DESNUTRICAO
Jauru;5105002;2023;0;5;E40-E46;SIM/DO;DESNUTRICAO
Jauru;5105002;2024;0;9;E40-E46;SIM/DO;DESNUTRICAO
Lambari d'Oeste;5105234;2012;0;1;E40-E46;SIM/DO;DESNUTRICAO
Lambari d'Oeste;5105234;2014;0;1;E40-E46;SIM/DO;DESNUTRICAO
Lambari d'Oeste;5105234;2015;0;3;E40-E46;SIM/DO;DESNUTRICAO
Lambari d'Oeste;5105234;2016;0;1;E40-E46;SIM/DO;DESNUTRICAO
Lambari d'Oeste;5105234;2017;0;2;E40-E46;SIM/DO;DESNUTRICAO
Lambari d'Oeste;5105234;2019;0;2;E40-E46;SIM/DO;DESNUTRICAO
Lambari d'Oeste;5105234;2020;0;6;E40-E46;SIM/DO;DESNUTRICAO
Lambari d'Oeste;5105234;2021;0;1;E40-E46;SIM/DO;DESNUTRICAO
Lambari d'Oeste;5105234;2022;0;3;E40-E46;SIM/DO;DESNUTRICAO
Lambari d'Oeste;5105234;2023;0;1;E40-E46;SIM/DO;DESNUTRICAO
Lambari d'Oeste;5105234;2024;0;2;E40-E46;SIM/DO;DESNUTRICAO
Mirassol d'Oeste;5105622;2010;0;10;E40-E46;SIM/DO;DESNUTRICAO
Mirassol d'Oeste;5105622;2011;0;13;E40-E46;SIM/DO;DESNUTRICAO
Mirassol d'Oeste;5105622;2012;0;11;E40-E46;SIM/DO;DESNUTRICAO
Mirassol d'Oeste;5105622;2013;0;7;E40-E46;SIM/DO;DESNUTRICAO
Mirassol d'Oeste;5105622;2014;0;12;E40-E46;SIM/DO;DESNUTRICAO
Mirassol d'Oeste;5105622;2015;0;13;E40-E46;SIM/DO;DESNUTRICAO
Mirassol d'Oeste;5105622;2016;0;17;E40-E46;SIM/DO;DESNUTRICAO
Mirassol d'Oeste;5105622;2017;0;13;E40-E46;SIM/DO;DESNUTRICAO
Mirassol d'Oeste;5105622;2018;0;11;E40-E46;SIM/DO;DESNUTRICAO
Mirassol d'Oeste;5105622;2019;0;16;E40-E46;SIM/DO;DESNUTRICAO
Mirassol d'Oeste;5105622;2020;0;13;E40-E46;SIM/DO;DESNUTRICAO
Mirassol d'Oeste;5105622;2021;0;16;E40-E46;SIM/DO;DESNUTRICAO
Mirassol d'Oeste;5105622;2022;0;10;E40-E46;SIM/DO;DESNUTRICAO
Mirassol d'Oeste;5105622;2023;0;16;E40-E46;SIM/DO;DESNUTRICAO
Mirassol d'Oeste;5105622;2024;0;14;E40-E46;SIM/DO;DESNUTRICAO
Porto Esperidião;5106828;2010;0;2;E40-E46;SIM/DO;DESNUTRICAO
Porto Esperidião;5106828;2011;0;2;E40-E46;SIM/DO;DESNUTRICAO
Porto Esperidião;5106828;2012;0;3;E40-E46;SIM/DO;DESNUTRICAO
Porto Esperidião;5106828;2013;0;3;E40-E46;SIM/DO;DESNUTRICAO
Porto Esperidião;5106828;2014;0;4;E40-E46;SIM/DO;DESNUTRICAO
Porto Esperidião;5106828;2015;0;5;E40-E46;SIM/DO;DESNUTRICAO
Porto Esperidião;5106828;2016;0;2;E40-E46;SIM/DO;DESNUTRICAO
Porto Esperidião;5106828;2017;0;3;E40-E46;SIM/DO;DESNUTRICAO
Porto Esperidião;5106828;2018;0;8;E40-E46;SIM/DO;DESNUTRICAO
Porto Esperidião;5106828;2019;0;7;E40-E46;SIM/DO;DESNUTRICAO
Porto Esperidião;5106828;2020;0;7;E40-E46;SIM/DO;DESNUTRICAO
Porto Esperidião;5106828;2021;0;8;E40-E46;SIM/DO;DESNUTRICAO
Porto Esperidião;5106828;2022;0;4;E40-E46;SIM/DO;DESNUTRICAO
Porto Esperidião;5106828;2023;0;7;E40-E46;SIM/DO;DESNUTRICAO
Porto Esperidião;5106828;2024;0;6;E40-E46;SIM/DO;DESNUTRICAO
São José dos Quatro Marcos;5107107;2010;0;8;E40-E46;SIM/DO;DESNUTRICAO
São José dos Quatro Marcos;5107107;2011;0;12;E40-E46;SIM/DO;DESNUTRICAO
São José dos Quatro Marcos;5107107;2012;0;11;E40-E46;SIM/DO;DESNUTRICAO
São José dos Quatro Marcos;5107107;2013;0;9;E40-E46;SIM/DO;DESNUTRICAO
São José dos Quatro Marcos;5107107;2014;0;9;E40-E46;SIM/DO;DESNUTRICAO
São José dos Quatro Marcos;5107107;2015;0;11;E40-E46;SIM/DO;DESNUTRICAO
São José dos Quatro Marcos;5107107;2016;0;17;E40-E46;SIM/DO;DESNUTRICAO
São José dos Quatro Marcos;5107107;2017;0;8;E40-E46;SIM/DO;DESNUTRICAO
São José dos Quatro Marcos;5107107;2018;0;9;E40-E46;SIM/DO;DESNUTRICAO
São José dos Quatro Marcos;5107107;2019;0;12;E40-E46;SIM/DO;DESNUTRICAO
São José dos Quatro Marcos;5107107;2020;0;15;E40-E46;SIM/DO;DESNUTRICAO
São José dos Quatro Marcos;5107107;2021;0;17;E40-E46;SIM/DO;DESNUTRICAO
São José dos Quatro Marcos;5107107;2022;0;20;E40-E46;SIM/DO;DESNUTRICAO
São José dos Quatro Marcos;5107107;2023;0;22;E40-E46;SIM/DO;DESNUTRICAO
São José dos Quatro Marcos;5107107;2024;0;11;E40-E46;SIM/DO;DESNUTRICAO
Reserva do Cabaçal;5107156;2012;0;1;E40-E46;SIM/DO;DESNUTRICAO
Reserva do Cabaçal;5107156;2014;0;1;E40-E46;SIM/DO;DESNUTRICAO
Reserva do Cabaçal;5107156;2015;0;1;E40-E46;SIM/DO;DESNUTRICAO
Reserva do Cabaçal;5107156;2017;0;1;E40-E46;SIM/DO;DESNUTRICAO
Reserva do Cabaçal;5107156;2019;0;4;E40-E46;SIM/DO;DESNUTRICAO
Reserva do Cabaçal;5107156;2020;0;2;E40-E46;SIM/DO;DESNUTRICAO
Reserva do Cabaçal;5107156;2021;0;3;E40-E46;SIM/DO;DESNUTRICAO
Reserva do Cabaçal;5107156;2022;0;4;E40-E46;SIM/DO;DESNUTRICAO
