municipio;codigo_ibge;ano;mes;valor;cid10;sistema;grupo_doenca
Araputanga;5101258;2010;1;1;J40-J47excJ45-J46;SIH/SUS;DPOC
Araputanga;5101258;2010;3;1;J40-J47excJ45-J46;SIH/SUS;DPOC
Araputanga;5101258;2010;4;1;J40-J47excJ45-J46;SIH/SUS;DPOC
Araputanga;5101258;2010;5;2;J40-J47excJ45-J46;SIH/SUS;DPOC
Araputanga;5101258;2010;6;5;J40-J47excJ45-J46;SIH/SUS;DPOC
Araputanga;5101258;2010;8;7;J40-J47excJ45-J46;SIH/SUS;DPOC
Araputanga;5101258;2010;9;1;J40-J47excJ45-J46;SIH/SUS;DPOC
Araputanga;5101258;2010;10;2;J40-J47excJ45-J46;SIH/SUS;DPOC
Araputanga;5101258;2010;11;2;J40-J47excJ45-J46;SIH/SUS;DPOC
Araputanga;5101258;2010;12;5;J40-J47excJ45-J46;SIH/SUS;DPOC
Araputanga;5101258;2011;1;2;J40-J47excJ45-J46;SIH/SUS;DPOC
Araputanga;5101258;2011;2;2;J40-J47excJ45-J46;SIH/SUS;DPOC
Araputanga;5101258;2011;3;1;J40-J47excJ45-J46;SIH/SUS;DPOC
Araputanga;5101258;2011;4;4;J40-J47excJ45-J46;SIH/SUS;DPOC
Araputanga;5101258;2011;6;2;J40-J47excJ45-J46;SIH/SUS;DPOC
Araputanga;5101258;2011;7;3;J40-J47excJ45-J46;SIH/SUS;DPOC
Araputanga;5101258;2011;8;2;J40-J47excJ45-J46;SIH/SUS;DPOC
Araputanga;5101258;2011;9;3;J40-J47excJ45-J46;SIH/SUS;DPOC
Araputanga;5101258;2011;10;1;J40-J47excJ45-J46;SIH/SUS;DPOC
Araputanga;5101258;2011;12;3;J40-J47excJ45-J46;SIH/SUS;DPOC
Araputanga;5101258;2012;1;3;J40-J47excJ45-J46;SIH/SUS;DPOC
Araputanga;5101258;2012;4;4;J40-J47excJ45-J46;SIH/SUS;DPOC
Araputanga;5101258;2012;5;2;J40-J47excJ45-J46;SIH/SUS;DPOC
Araputanga;5101258;2012;6;3;J40-J47excJ45-J46;SIH/SUS;DPOC
Araputanga;5101258;2012;8;1;J40-J47excJ45-J46;SIH/SUS;DPOC
Araputanga;5101258;2012;9;1;J40-J47excJ45-J46;SIH/SUS;DPOC
Araputanga;5101258;2012;10;1;J40-J47excJ45-J46;SIH/SUS;DPOC
Araputanga;5101258;2012;12;2;J40-J47excJ45-J46;SIH/SUS;DPOC
Araputanga;5101258;2013;1;1;J40-J47excJ45-J46;SIH/SUS;DPOC
Araputanga;5101258;2013;2;1;J40-J47excJ45-J46;SIH/SUS;DPOC
Araputanga;5101258;2013;3;1;J40-J47excJ45-J46;SIH/SUS;DPOC
Araputanga;5101258;2013;4;3;J40-J47excJ45-J46;SIH/SUS;DPOC
Araputanga;5101258;2013;5;1;J40-J47excJ45-J46;SIH/SUS;DPOC
Araputanga;5101258;2013;7;2;J40-J47excJ45-J46;SIH/SUS;DPOC
Araputanga;5101258;2013;8;1;J40-J47excJ45-J46;SIH/SUS;DPOC
Araputanga;5101258;2013;10;2;J40-J47excJ45-J46;SIH/SUS;DPOC
Araputanga;5101258;2013;11;1;J40-J47excJ45-J46;SIH/SUS;DPOC
Araputanga;5101258;2013;12;1;J40-J47excJ45-J46;SIH/SUS;DPOC
Araputanga;5101258;2014;1;1;J40-J47excJ45-J46;SIH/SUS;DPOC
Araputanga;5101258;2019;8;1;J40-J47excJ45-J46;SIH/SUS;DPOC
Araputanga;5101258;2019;9;1;J40-J47excJ45-J46;SIH/SUS;DPOC
Araputanga;5101258;2019;10;1;J40-J47excJ45-J46;SIH/SUS;DPOC
Araputanga;5101258;2019;11;1;J40-J47excJ45-J46;SIH/SUS;DPOC
Araputanga;5101258;2019;12;1;J40-J47excJ45-J46;SIH/SUS;DPOC
Araputanga;5101258;2020;2;2;J40-J47excJ45-J46;SIH/SUS;DPOC
Araputanga;5101258;2020;6;1;J40-J47excJ45-J46;SIH/SUS;DPOC
Araputanga;5101258;2020;7;1;J40-J47excJ45-J46;SIH/SUS;DPOC
Araputanga;5101258;2020;8;1;J40-J47excJ45-J46;SIH/SUS;DPOC
Araputanga;5101258;2020;10;1;J40-J47excJ45-J46;SIH/SUS;DPOC
Araputanga;5101258;2021;2;1;J40-J47excJ45-J46;SIH/SUS;DPOC
Araputanga;5101258;2021;4;1;J40-J47excJ45-J46;SIH/SUS;DPOC
Araputanga;5101258;2021;5;1;J40-J47excJ45-J46;SIH/SUS;DPOC
Araputanga;5101258;2021;6;1;J40-J47excJ45-J46;SIH/SUS;DPOC
Araputanga;5101258;2021;7;1;J40-J47excJ45-J46;SIH/SUS;DPOC
Araputanga;5101258;2021;8;2;J40-J47excJ45-J46;SIH/SUS;DPOC
Araputanga;5101258;2021;10;4;J40-J47excJ45-J46;SIH/SUS;DPOC
Araputanga;5101258;2022;1;1;J40-J47excJ45-J46;SIH/SUS;DPOC
Araputanga;5101258;2022;3;1;J40-J47excJ45-J46;SIH/SUS;DPOC
Araputanga;5101258;2022;4;2;J40-J47excJ45-J46;SIH/SUS;DPOC
Araputanga;5101258;2022;7;3;J40-J47excJ45-J46;SIH/SUS;DPOC
