municipio;codigo_ibge;ano;mes;valor;cid10;sistema;grupo_doenca
Araputanga;5101258;2010;1;7;A00-A09;SIH/SUS;GASTROENTERITES
Araputanga;5101258;2010;2;5;A00-A09;SIH/SUS;GASTROENTERITES
Araputanga;5101258;2010;3;6;A00-A09;SIH/SUS;GASTROENTERITES
Araputanga;5101258;2010;4;3;A00-A09;SIH/SUS;GASTROENTERITES
Araputanga;5101258;2010;5;8;A00-A09;SIH/SUS;GASTROENTERITES
Araputanga;5101258;2010;6;6;A00-A09;SIH/SUS;GASTROENTERITES
Araputanga;5101258;2010;8;4;A00-A09;SIH/SUS;GASTROENTERITES
Araputanga;5101258;2010;9;11;A00-A09;SIH/SUS;GASTROENTERITES
Araputanga;5101258;2010;10;2;A00-A09;SIH/SUS;GASTROENTERITES
Araputanga;5101258;2010;11;2;A00-A09;SIH/SUS;GASTROENTERITES
Araputanga;5101258;2011;3;2;A00-A09;SIH/SUS;GASTROENTERITES
Araputanga;5101258;2011;4;1;A00-A09;SIH/SUS;GASTROENTERITES
Araputanga;5101258;2011;6;3;A00-A09;SIH/SUS;GASTROENTERITES
Araputanga;5101258;2011;7;2;A00-A09;SIH/SUS;GASTROENTERITES
Araputanga;5101258;2011;8;8;A00-A09;SIH/SUS;GASTROENTERITES
Araputanga;5101258;2011;9;5;A00-A09;SIH/SUS;GASTROENTERITES
Araputanga;5101258;2011;10;6;A00-A09;SIH/SUS;GASTROENTERITES
Araputanga;5101258;2011;11;4;A00-A09;SIH/SUS;GASTROENTERITES
Araputanga;5101258;2011;12;8;A00-A09;SIH/SUS;GASTROENTERITES
Araputanga;5101258;2012;1;4;A00-A09;SIH/SUS;GASTROENTERITES
Araputanga;5101258;2012;2;4;A00-A09;SIH/SUS;GASTROENTERITES
Araputanga;5101258;2012;4;2;A00-A09;SIH/SUS;GASTROENTERITES
Araputanga;5101258;2012;6;3;A00-A09;SIH/SUS;GASTROENTERITES
Araputanga;5101258;2012;7;1;A00-A09;SIH/SUS;GASTROENTERITES
Araputanga;5101258;2012;8;1;A00-A09;SIH/SUS;GASTROENTERITES
Araputanga;5101258;2012;9;6;A00-A09;SIH/SUS;GASTROENTERITES
Araputanga;5101258;2012;10;2;A00-A09;SIH/SUS;GASTROENTERITES
Araputanga;5101258;2012;11;4;A00-A09;SIH/SUS;GASTROENTERITES
Araputanga;5101258;2012;12;2;A00-A09;SIH/SUS;GASTROENTERITES
Araputanga;5101258;2013;1;6;A00-A09;SIH/SUS;GASTROENTERITES
Araputanga;5101258;2013;2;2;A00-A09;SIH/SUS;GASTROENTERITES
