municipio;codigo_ibge;ano;mes;valor;cid10;sistema;grupo_doenca
Araputanga;5101258;2010;0;2;A00-B99;SIM/DO;INFECCIOSAS
Araputanga;5101258;2011;0;3;A00-B99;SIM/DO;INFECCIOSAS
Araputanga;5101258;2012;0;3;A00-B99;SIM/DO;INFECCIOSAS
Araputanga;5101258;2013;0;4;A00-B99;SIM/DO;INFECCIOSAS
Araputanga;5101258;2015;0;6;A00-B99;SIM/DO;INFECCIOSAS
Araputanga;5101258;2016;0;3;A00-B99;SIM/DO;INFECCIOSAS
Araputanga;5101258;2018;0;7;A00-B99;SIM/DO;INFECCIOSAS
Araputanga;5101258;2019;0;4;A00-B99;SIM/DO;INFECCIOSAS
Araputanga;5101258;2020;0;13;A00-B99;SIM/DO;INFECCIOSAS
Araputanga;5101258;2021;0;50;A00-B99;SIM/DO;INFECCIOSAS
Araputanga;5101258;2022;0;7;A00-B99;SIM/DO;INFECCIOSAS
Araputanga;5101258;2023;0;2;A00-B99;SIM/DO;INFECCIOSAS
Araputanga;5101258;2024;0;7;A00-B99;SIM/DO;INFECCIOSAS
Cáceres;5102504;2010;0;39;A00-B99;SIM/DO;INFECCIOSAS
Cáceres;5102504;2011;0;34;A00-B99;SIM/DO;INFECCIOSAS
Cáceres;5102504;2012;0;31;A00-B99;SIM/DO;INFECCIOSAS
Cáceres;5102504;2013;0;21;A00-B99;SIM/DO;INFECCIOSAS
Cáceres;5102504;2014;0;26;A00-B99;SIM/DO;INFECCIOSAS
Cáceres;5102504;2015;0;28;A00-B99;SIM/DO;INFECCIOSAS
Cáceres;5102504;2016;0;19;A00-B99;SIM/DO;INFECCIOSAS
Cáceres;5102504;2017;0;25;A00-B99;SIM/DO;INFECCIOSAS
Cáceres;5102504;2018;0;28;A00-B99;SIM/DO;INFECCIOSAS
Cáceres;5102504;2019;0;37;A00-B99;SIM/DO;INFECCIOSAS
Cáceres;5102504;2020;0;173;A00-B99;SIM/DO;INFECCIOSAS
Cáceres;5102504;2021;0;316;A00-B99;SIM/DO;INFECCIOSAS
Cáceres;5102504;2022;0;80;A00-B99;SIM/DO;INFECCIOSAS
Cáceres;5102504;2023;0;37;A00-B99;SIM/DO;INFECCIOSAS
Cáceres;5102504;2024;0;29;A00-B99;SIM/DO;INFECCIOSAS
Curvelândia;5103437;2010;0;6;A00-B99;SIM/DO;INFECCIOSAS
Curvelândia;5103437;2011;0;1;A00-B99;SIM/DO;INFECCIOSAS
Curvelândia;5103437;2012;0;2;A00-B99;SIM/DO;INFECCIOSAS
Curvelândia;5103437;2013;0;1;A00-B99;SIM/DO;INFECCIOSAS
Curvelândia;5103437;2014;0;3;A00-B99;SIM/DO;INFECCIOSAS
Curvelândia;5103437;2015;0;2;A00-B99;SIM/DO;INFECCIOSAS
Curvelândia;5103437;2016;0;1;A00-B99;SIM/DO;INFECCIOSAS
Curvelândia;5103437;2017;0;2;A00-B99;SIM/DO;INFECCIOSAS
Curvelândia;5103437;2018;0;4;A00-B99;SIM/DO;INFECCIOSAS
Curvelândia;5103437;2019;0;3;A00-B99;SIM/DO;INFECCIOSAS
Curvelândia;5103437;2020;0;5;A00-B99;SIM/DO;INFECCIOSAS
Curvelândia;5103437;2021;0;19;A00-B99;SIM/DO;INFECCIOSAS
Curvelândia;5103437;2022;0;3;A00-B99;SIM/DO;INFECCIOSAS
Curvelândia;5103437;2023;0;1;A00-B99;SIM/DO;INFECCIOSAS
Curvelândia;5103437;2024;0;1;A00-B99;SIM/DO;INFECCIOSAS
Figueirópolis d'Oeste;5103809;2012;0;3;A00-B99;SIM/DO;INFECCIOSAS
Figueirópolis d'Oeste;5103809;2019;0;2;A00-B99;SIM/DO;INFECCIOSAS
Figueirópolis d'Oeste;5103809;2020;0;1;A00-B99;SIM/DO;INFECCIOSAS
Figueirópolis d'Oeste;5103809;2021;0;8;A00-B99;SIM/DO;INFECCIOSAS
Figueirópolis d'Oeste;5103809;2022;0;3;A00-B99;SIM/DO;INFECCIOSAS
Figueirópolis d'Oeste;5103809;2023;0;1;A00-B99;SIM/DO;INFECCIOSAS
Figueirópolis d'Oeste;5103809;2024;0;3;A00-B99;SIM/DO;INFECCIOSAS
Glória d'Oeste;5103957;2012;0;3;A00-B99;SIM/DO;INFECCIOSAS
Glória d'Oeste;5103957;2014;0;1;A00-B99;SIM/DO;INFECCIOSAS
Glória d'Oeste;5103957;2015;0;1;A00-B99;SIM/DO;INFECCIOSAS
Glória d'Oeste;5103957;2016;0;2;A00-B99;SIM/DO;INFECCIOSAS
Glória d'Oeste;5103957;2017;0;2;A00-B99;SIM/DO;INFECCIOSAS
Glória d'Oeste;5103957;2018;0;1;A00-B99;SIM/DO;INFECCIOSAS
Glória d'Oeste;5103957;2019;0;1;A00-B99;SIM/DO;INFECCIOSAS
Glória d'Oeste;5103957;2021;0;13;A00-B99;SIM/DO;INFECCIOSAS
Glória d'Oeste;5103957;2022;0;1;A00-B99;SIM/DO;INFECCIOSAS
Glória d'Oeste;5103957;2023;0;2;A00-B99;SIM/DO;INFECCIOSAS
Indiavaí;5104500;2010;0;1;A00-B99;SIM/DO;INFECCIOSAS
Indiavaí;5104500;2012;0;1;A00-B99;SIM/DO;INFECCIOSAS
Indiavaí;5104500;2013;0;2;A00-B99;SIM/DO;INFECCIOSAS
Indiavaí;5104500;2015;0;2;A00-B99;SIM/DO;INFECCIOSAS
Indiavaí;5104500;2017;0;1;A00-B99;SIM/DO;INFECCIOSAS
Indiavaí;5104500;2018;0;1;A00-B99;SIM/DO;INFECCIOSAS
Indiavaí;5104500;2020;0;6;A00-B99;SIM/DO;INFECCIOSAS
Indiavaí;5104500;2021;0;10;A00-B99;SIM/DO;INFECCIOSAS
Indiavaí;5104500;2022;0;1;A00-B99;SIM/DO;INFECCIOSAS
Indiavaí;5104500;2024;0;1;A00-B99;SIM/DO;INFECCIOSAS
Jauru;5105002;2010;0;4;A00-B99;SIM/DO;INFECCIOSAS
Jauru;5105002;2011;0;3;A00-B99;SIM/DO;INFECCIOSAS
Jauru;5105002;2012;0;3;A00-B99;SIM/DO;INFECCIOSAS
Jauru;5105002;2013;0;5;A00-B99;SIM/DO;INFECCIOSAS
