municipio;codigo_ibge;ano;mes;valor;cid10;sistema;grupo_doenca
Araputanga;5101258;2010;2;1;B50-B64;SIH/SUS;MALARIA
Araputanga;5101258;2010;5;1;B50-B64;SIH/SUS;MALARIA
Araputanga;5101258;2012;10;1;B50-B64;SIH/SUS;MALARIA
Araputanga;5101258;2017;3;1;B50-B64;SIH/SUS;MALARIA
Araputanga;5101258;2020;12;1;B50-B64;SIH/SUS;MALARIA
Araputanga;5101258;2021;2;1;B50-B64;SIH/SUS;MALARIA
Araputanga;5101258;2021;9;2;B50-B64;SIH/SUS;MALARIA
Cáceres;5102504;2010;2;1;B50-B64;SIH/SUS;MALARIA
Cáceres;5102504;2010;6;1;B50-B64;SIH/SUS;MALARIA
Cáceres;5102504;2010;9;1;B50-B64;SIH/SUS;MALARIA
Cáceres;5102504;2010;11;1;B50-B64;SIH/SUS;MALARIA
Cáceres;5102504;2010;12;1;B50-B64;SIH/SUS;MALARIA
Cáceres;5102504;2011;1;1;B50-B64;SIH/SUS;MALARIA
Cáceres;5102504;2011;6;1;B50-B64;SIH/SUS;MALARIA
Cáceres;5102504;2011;8;1;B50-B64;SIH/SUS;MALARIA
Cáceres;5102504;2012;4;1;B50-B64;SIH/SUS;MALARIA
Cáceres;5102504;2012;7;1;B50-B64;SIH/SUS;MALARIA
Cáceres;5102504;2012;10;1;B50-B64;SIH/SUS;MALARIA
Cáceres;5102504;2012;12;1;B50-B64;SIH/SUS;MALARIA
Cáceres;5102504;2013;1;5;B50-B64;SIH/SUS;MALARIA
Cáceres;5102504;2013;2;1;B50-B64;SIH/SUS;MALARIA
Cáceres;5102504;2013;8;1;B50-B64;SIH/SUS;MALARIA
Cáceres;5102504;2013;10;1;B50-B64;SIH/SUS;MALARIA
Cáceres;5102504;2014;9;1;B50-B64;SIH/SUS;MALARIA
Cáceres;5102504;2016;1;1;B50-B64;SIH/SUS;MALARIA
Cáceres;5102504;2016;8;1;B50-B64;SIH/SUS;MALARIA
Cáceres;5102504;2016;10;1;B50-B64;SIH/SUS;MALARIA
Cáceres;5102504;2016;11;1;B50-B64;SIH/SUS;MALARIA
Cáceres;5102504;2016;12;1;B50-B64;SIH/SUS;MALARIA
Cáceres;5102504;2017;1;1;B50-B64;SIH/SUS;MALARIA
Cáceres;5102504;2017;6;2;B50-B64;SIH/SUS;MALARIA
Cáceres;5102504;2017;7;1;B50-B64;SIH/SUS;MALARIA
Cáceres;5102504;2018;2;1;B50-B64;SIH/SUS;MALARIA
Cáceres;5102504;2018;12;1;B50-B64;SIH/SUS;MALARIA
Cáceres;5102504;2020;12;2;B50-B64;SIH/SUS;MALARIA
Cáceres;5102504;2021;9;1;B50-B64;SIH/SUS;MALARIA
Cáceres;5102504;2022;8;1;B50-B64;SIH/SUS;MALARIA
Cáceres;5102504;2023;10;1;B50-B64;SIH/SUS;MALARIA
Cáceres;5102504;2023;12;1;B50-B64;SIH/SUS;MALARIA
Cáceres;5102504;2025;12;2;B50-B64;SIH/SUS;MALARIA
Cáceres;5102504;2026;1;1;B50-B64;SIH/SUS;MALARIA
Cáceres;5102504;2026;3;1;B50-B64;SIH/SUS;MALARIA
Lambari d'Oeste;5105234;2022;7;1;B50-B64;SIH/SUS;MALARIA
Mirassol d'Oeste;5105622;2012;7;1;B50-B64;SIH/SUS;MALARIA
Mirassol d'Oeste;5105622;2013;7;1;B50-B64;SIH/SUS;MALARIA
Mirassol d'Oeste;5105622;2015;7;1;B50-B64;SIH/SUS;MALARIA
Mirassol d'Oeste;5105622;2015;10;1;B50-B64;SIH/SUS;MALARIA
Mirassol d'Oeste;5105622;2016;11;1;B50-B64;SIH/SUS;MALARIA
Mirassol d'Oeste;5105622;2017;4;1;B50-B64;SIH/SUS;MALARIA
Mirassol d'Oeste;5105622;2018;4;1;B50-B64;SIH/SUS;MALARIA
Mirassol d'Oeste;5105622;2021;9;1;B50-B64;SIH/SUS;MALARIA
Mirassol d'Oeste;5105622;2024;1;1;B50-B64;SIH/SUS;MALARIA
Mirassol d'Oeste;5105622;2026;2;1;B50-B64;SIH/SUS;MALARIA
Porto Esperidião;5106828;2012;9;1;B50-B64;SIH/SUS;MALARIA
Porto Esperidião;5106828;2016;8;1;B50-B64;SIH/SUS;MALARIA
Porto Esperidião;5106828;2018;10;1;B50-B64;SIH/SUS;MALARIA
Porto Esperidião;5106828;2021;9;1;B50-B64;SIH/SUS;MALARIA
São José dos Quatro Marcos;5107107;2010;5;1;B50-B64;SIH/SUS;MALARIA
São José dos Quatro Marcos;5107107;2014;10;1;B50-B64;SIH/SUS;MALARIA
São José dos Quatro Marcos;5107107;2023;8;1;B50-B64;SIH/SUS;MALARIA
Reserva do Cabaçal;5107156;2018;8;1;B50-B64;SIH/SUS;MALARIA
Reserva do Cabaçal;5107156;2024;9;1;B50-B64;SIH/SUS;MALARIA
Reserva do Cabaçal;5107156;2024;10;1;B50-B64;SIH/SUS;MALARIA
Salto do Céu;5107776;2017;1;1;B50-B64;SIH/SUS;MALARIA
Salto do Céu;5107776;2020;12;1;B50-B64;SIH/SUS;MALARIA
