territorio,geocode,estado,ano,variavel,chave,unidade,valor
Araputanga,5101258,MT,1985,Temperatura média anual do ar,atmosphere_annual_mean_air_temperature,°C,24.411777
Araputanga,5101258,MT,1986,Temperatura média anual do ar,atmosphere_annual_mean_air_temperature,°C,24.582556
Araputanga,5101258,MT,1987,Temperatura média anual do ar,atmosphere_annual_mean_air_temperature,°C,24.823450
Araputanga,5101258,MT,1988,Temperatura média anual do ar,atmosphere_annual_mean_air_temperature,°C,24.532346
Araputanga,5101258,MT,1989,Temperatura média anual do ar,atmosphere_annual_mean_air_temperature,°C,24.039947
Araputanga,5101258,MT,1990,Temperatura média anual do ar,atmosphere_annual_mean_air_temperature,°C,24.176159
Araputanga,5101258,MT,1991,Temperatura média anual do ar,atmosphere_annual_mean_air_temperature,°C,24.526480
Araputanga,5101258,MT,1992,Temperatura média anual do ar,atmosphere_annual_mean_air_temperature,°C,24.141829
Araputanga,5101258,MT,1993,Temperatura média anual do ar,atmosphere_annual_mean_air_temperature,°C,24.607996
Araputanga,5101258,MT,1994,Temperatura média anual do ar,atmosphere_annual_mean_air_temperature,°C,24.654632
Araputanga,5101258,MT,1995,Temperatura média anual do ar,atmosphere_annual_mean_air_temperature,°C,24.841469
Araputanga,5101258,MT,1996,Temperatura média anual do ar,atmosphere_annual_mean_air_temperature,°C,24.498807
Araputanga,5101258,MT,1997,Temperatura média anual do ar,atmosphere_annual_mean_air_temperature,°C,25.160441
Araputanga,5101258,MT,1998,Temperatura média anual do ar,atmosphere_annual_mean_air_temperature,°C,24.882608
Araputanga,5101258,MT,1999,Temperatura média anual do ar,atmosphere_annual_mean_air_temperature,°C,24.664004
Araputanga,5101258,MT,2000,Temperatura média anual do ar,atmosphere_annual_mean_air_temperature,°C,24.561930
Araputanga,5101258,MT,2001,Temperatura média anual do ar,atmosphere_annual_mean_air_temperature,°C,24.968371
Araputanga,5101258,MT,2002,Temperatura média anual do ar,atmosphere_annual_mean_air_temperature,°C,25.465717
Araputanga,5101258,MT,2003,Temperatura média anual do ar,atmosphere_annual_mean_air_temperature,°C,24.822554
