territorio,geocode,estado,ano,classe,valor_pixel,area_ha
"Figueirópolis D'Oeste",5103809,MT,1985,"Outras Lavouras Temporárias",41,48.5646
"Figueirópolis D'Oeste",5103809,MT,1985,"Lavoura Temporária",19,48.5646
"Figueirópolis D'Oeste",5103809,MT,1985,"Formação Campestre",12,1332.1747
"Figueirópolis D'Oeste",5103809,MT,1985,"Formação Florestal",3,37462.9340
"Figueirópolis D'Oeste",5103809,MT,1985,"Agricultura",18,48.5646
"Figueirópolis D'Oeste",5103809,MT,1985,"Rio, Lago e Oceano",33,287.1432
"Figueirópolis D'Oeste",5103809,MT,1985,"Outras Áreas não Vegetadas",25,78.1513
"Figueirópolis D'Oeste",5103809,MT,1985,"Campo Alagado e Área Pantanosa",11,407.1348
"Figueirópolis D'Oeste",5103809,MT,1985,"Floresta Alagável",6,3081.2741
"Figueirópolis D'Oeste",5103809,MT,1985,"Afloramento Rochoso",29,480.3646
"Figueirópolis D'Oeste",5103809,MT,1985,"Pastagem",15,44731.0298
"Figueirópolis D'Oeste",5103809,MT,1985,"Área Urbanizada",24,52.4516
"Figueirópolis D'Oeste",5103809,MT,1985,"Formação Savânica",4,1182.7109
"Figueirópolis D'Oeste",5103809,MT,1985,"Floresta",1,41726.9191
"Figueirópolis D'Oeste",5103809,MT,1985,"Vegetação Herbácea e Arbustiva",10,2219.6740
"Figueirópolis D'Oeste",5103809,MT,1985,"Agropecuária",14,44779.5945
"Figueirópolis D'Oeste",5103809,MT,1985,"Área não Vegetada",22,130.6029
"Figueirópolis D'Oeste",5103809,MT,1985,"Corpo D'Água",26,287.1432
"Figueirópolis D'Oeste",5103809,MT,1986,"Outras Lavouras Temporárias",41,16.1984
"Figueirópolis D'Oeste",5103809,MT,1986,"Lavoura Temporária",19,16.1984
"Figueirópolis D'Oeste",5103809,MT,1986,"Formação Campestre",12,1366.4288
"Figueirópolis D'Oeste",5103809,MT,1986,"Formação Florestal",3,37324.0177
"Figueirópolis D'Oeste",5103809,MT,1986,"Agricultura",18,16.1984
"Figueirópolis D'Oeste",5103809,MT,1986,"Rio, Lago e Oceano",33,328.1293
"Figueirópolis D'Oeste",5103809,MT,1986,"Outras Áreas não Vegetadas",25,82.4893
"Figueirópolis D'Oeste",5103809,MT,1986,"Campo Alagado e Área Pantanosa",11,376.5815
"Figueirópolis D'Oeste",5103809,MT,1986,"Floresta Alagável",6,3075.2646
"Figueirópolis D'Oeste",5103809,MT,1986,"Afloramento Rochoso",29,479.9334
"Figueirópolis D'Oeste",5103809,MT,1986,"Pastagem",15,44864.5529
"Figueirópolis D'Oeste",5103809,MT,1986,"Área Urbanizada",24,54.7804
"Figueirópolis D'Oeste",5103809,MT,1986,"Formação Savânica",4,1175.5574
"Figueirópolis D'Oeste",5103809,MT,1986,"Floresta",1,41574.8397
"Figueirópolis D'Oeste",5103809,MT,1986,"Vegetação Herbácea e Arbustiva",10,2222.9437
