municipio;codigo_ibge;ano;mes;valor;cid10;sistema;grupo_doenca
Araputanga;5101258;2010;1;2;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2010;2;4;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2010;3;2;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2010;4;4;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2010;5;4;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2010;6;5;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2010;7;1;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2010;8;1;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2010;10;2;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2010;11;1;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2010;12;2;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2011;1;3;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2011;4;2;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2011;5;1;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2011;6;4;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2011;7;7;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2011;8;3;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2011;9;4;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2011;10;4;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2011;11;2;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2011;12;3;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2012;1;2;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2012;2;2;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2012;3;1;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2012;4;4;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2012;5;3;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2012;6;5;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2012;7;6;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2012;8;3;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2012;9;3;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2012;10;3;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2012;11;5;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2012;12;4;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2013;1;5;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2013;2;3;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2013;3;3;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2013;4;10;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2013;5;6;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2013;6;6;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2013;7;6;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2013;8;10;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2013;9;8;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2013;10;12;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2013;11;4;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2013;12;3;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2014;1;1;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2014;2;4;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2014;3;6;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2014;4;2;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2014;6;6;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2014;7;7;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2014;8;5;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2014;9;6;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2014;10;5;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2014;11;5;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2014;12;1;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2015;1;5;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2015;2;3;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2015;3;3;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2015;4;3;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2015;5;8;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2015;6;8;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2015;7;11;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2015;8;8;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2015;9;3;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2015;10;5;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2015;11;5;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2015;12;6;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2016;1;6;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2016;2;6;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2016;3;4;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2016;4;6;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2016;5;2;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2016;6;7;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2016;7;10;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2016;8;3;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2016;9;3;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2016;10;6;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2016;11;1;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2016;12;5;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2017;1;4;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2017;2;1;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2017;3;2;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2017;4;3;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2017;5;4;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2017;6;3;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2017;7;7;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2017;8;4;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2017;9;3;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2017;10;2;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2017;11;3;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2017;12;3;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2018;1;1;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2018;2;2;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2018;3;2;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2018;4;4;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2018;5;6;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2018;6;1;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2018;7;2;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2018;8;5;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2018;9;4;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2018;10;2;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2018;11;2;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2018;12;3;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2019;1;1;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2019;2;2;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2019;3;3;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2019;4;3;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2019;5;5;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2019;6;4;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2019;7;5;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2019;8;2;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2019;9;6;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2019;10;8;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2019;11;6;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2020;1;5;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2020;2;3;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2020;3;1;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2020;4;2;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2020;6;1;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2020;8;2;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2020;9;2;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2020;10;2;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2020;11;1;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2020;12;4;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2021;1;1;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2021;2;5;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2021;3;1;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2021;4;2;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2021;5;5;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2021;6;2;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2021;7;3;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2021;8;4;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2021;9;3;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2021;10;5;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2021;11;5;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2021;12;7;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2022;1;7;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2022;2;4;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2022;3;5;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2022;4;7;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2022;5;2;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2022;6;1;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2022;7;2;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2022;8;9;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2022;9;3;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2022;10;15;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2022;11;14;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2022;12;4;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2023;1;6;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2023;2;6;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2023;3;1;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2023;4;3;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2023;5;4;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2023;6;3;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2023;7;5;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2023;8;6;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2023;9;6;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2023;10;3;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2023;11;4;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2023;12;4;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2024;1;5;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2024;2;6;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2024;3;10;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2024;4;9;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2024;5;5;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2024;6;7;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2024;7;6;C00-D48;SIH/SUS;NEOPLASIAS
