municipio;codigo_ibge;ano;mes;valor;cid10;sistema;grupo_doenca
Araputanga;5101258;2010;12;1;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2011;12;1;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2012;1;1;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2022;10;1;C00-D48;SIH/SUS;NEOPLASIAS
Araputanga;5101258;2024;9;1;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2010;1;2;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2010;2;3;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2010;3;4;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2010;4;7;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2010;5;13;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2010;6;3;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2010;7;8;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2010;8;8;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2010;9;10;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2010;10;9;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2010;11;7;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2010;12;6;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2011;1;8;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2011;2;5;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2011;3;5;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2011;4;5;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2011;5;12;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2011;6;34;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2011;7;20;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2011;8;16;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2011;9;8;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2011;10;11;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2011;11;11;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2011;12;26;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2012;1;19;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2012;2;24;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2012;3;23;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2012;4;21;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2012;5;27;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2012;6;47;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2012;7;67;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2012;8;46;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2012;9;28;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2012;10;34;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2012;11;39;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2012;12;22;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2013;1;33;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2013;2;32;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2013;3;39;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2013;4;45;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2013;5;60;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2013;6;50;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2013;7;109;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2013;8;93;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2013;9;77;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2013;10;75;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2013;11;40;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2013;12;33;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2014;1;57;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2014;2;53;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2014;3;59;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2014;4;52;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2014;5;25;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2014;6;61;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2014;7;68;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2014;8;51;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2014;9;58;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2014;10;68;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2014;11;74;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2014;12;31;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2015;1;53;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2015;2;37;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2015;3;69;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2015;4;58;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2015;5;58;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2015;6;60;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2015;7;82;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2015;8;56;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2015;9;47;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2015;10;41;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2015;11;80;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2015;12;57;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2016;1;40;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2016;2;80;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2016;3;78;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2016;4;56;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2016;5;54;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2016;6;47;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2016;7;49;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2016;8;46;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2016;9;46;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2016;10;69;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2016;11;66;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2016;12;44;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2017;1;68;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2017;2;54;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2017;3;67;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2017;4;61;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2017;5;82;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2017;6;66;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2017;7;66;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2017;8;68;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2017;9;72;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2017;10;53;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2017;11;29;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2017;12;35;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2018;1;34;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2018;2;34;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2018;3;38;C00-D48;SIH/SUS;NEOPLASIAS
Cáceres;5102504;2018;4;34;C00-D48;SIH/SUS;NEOPLASIAS
