municipio;codigo_ibge;ano;mes;valor;cid10;sistema;grupo_doenca
Araputanga;5101258;2010;0;12;C00-D48;SIM/DO;NEOPLASIAS
Araputanga;5101258;2011;0;9;C00-D48;SIM/DO;NEOPLASIAS
Araputanga;5101258;2012;0;9;C00-D48;SIM/DO;NEOPLASIAS
Araputanga;5101258;2013;0;10;C00-D48;SIM/DO;NEOPLASIAS
Araputanga;5101258;2014;0;14;C00-D48;SIM/DO;NEOPLASIAS
Araputanga;5101258;2015;0;10;C00-D48;SIM/DO;NEOPLASIAS
Araputanga;5101258;2016;0;17;C00-D48;SIM/DO;NEOPLASIAS
Araputanga;5101258;2017;0;16;C00-D48;SIM/DO;NEOPLASIAS
Araputanga;5101258;2018;0;12;C00-D48;SIM/DO;NEOPLASIAS
Araputanga;5101258;2019;0;16;C00-D48;SIM/DO;NEOPLASIAS
Araputanga;5101258;2020;0;10;C00-D48;SIM/DO;NEOPLASIAS
Araputanga;5101258;2021;0;9;C00-D48;SIM/DO;NEOPLASIAS
Araputanga;5101258;2022;0;15;C00-D48;SIM/DO;NEOPLASIAS
Araputanga;5101258;2023;0;15;C00-D48;SIM/DO;NEOPLASIAS
Araputanga;5101258;2024;0;20;C00-D48;SIM/DO;NEOPLASIAS
Cáceres;5102504;2010;0;83;C00-D48;SIM/DO;NEOPLASIAS
Cáceres;5102504;2011;0;60;C00-D48;SIM/DO;NEOPLASIAS
Cáceres;5102504;2012;0;63;C00-D48;SIM/DO;NEOPLASIAS
Cáceres;5102504;2013;0;65;C00-D48;SIM/DO;NEOPLASIAS
Cáceres;5102504;2014;0;81;C00-D48;SIM/DO;NEOPLASIAS
Cáceres;5102504;2015;0;74;C00-D48;SIM/DO;NEOPLASIAS
Cáceres;5102504;2016;0;94;C00-D48;SIM/DO;NEOPLASIAS
Cáceres;5102504;2017;0;79;C00-D48;SIM/DO;NEOPLASIAS
Cáceres;5102504;2018;0;85;C00-D48;SIM/DO;NEOPLASIAS
Cáceres;5102504;2019;0;78;C00-D48;SIM/DO;NEOPLASIAS
Cáceres;5102504;2020;0;87;C00-D48;SIM/DO;NEOPLASIAS
Cáceres;5102504;2021;0;96;C00-D48;SIM/DO;NEOPLASIAS
Cáceres;5102504;2022;0;84;C00-D48;SIM/DO;NEOPLASIAS
Cáceres;5102504;2023;0;92;C00-D48;SIM/DO;NEOPLASIAS
Cáceres;5102504;2024;0;98;C00-D48;SIM/DO;NEOPLASIAS
