municipio;codigo_ibge;ano;mes;valor;cid10;sistema;grupo_doenca
Araputanga;5101258;2010;1;2;J12-J18;SIH/SUS;PNEUMONIA
Araputanga;5101258;2010;2;4;J12-J18;SIH/SUS;PNEUMONIA
Araputanga;5101258;2010;3;3;J12-J18;SIH/SUS;PNEUMONIA
Araputanga;5101258;2010;4;8;J12-J18;SIH/SUS;PNEUMONIA
Araputanga;5101258;2010;5;6;J12-J18;SIH/SUS;PNEUMONIA
Araputanga;5101258;2010;6;3;J12-J18;SIH/SUS;PNEUMONIA
Araputanga;5101258;2010;7;3;J12-J18;SIH/SUS;PNEUMONIA
Araputanga;5101258;2010;8;3;J12-J18;SIH/SUS;PNEUMONIA
Araputanga;5101258;2010;9;4;J12-J18;SIH/SUS;PNEUMONIA
Araputanga;5101258;2010;10;1;J12-J18;SIH/SUS;PNEUMONIA
Araputanga;5101258;2010;11;5;J12-J18;SIH/SUS;PNEUMONIA
Araputanga;5101258;2010;12;10;J12-J18;SIH/SUS;PNEUMONIA
Araputanga;5101258;2011;1;4;J12-J18;SIH/SUS;PNEUMONIA
Araputanga;5101258;2011;2;2;J12-J18;SIH/SUS;PNEUMONIA
Araputanga;5101258;2011;3;12;J12-J18;SIH/SUS;PNEUMONIA
Araputanga;5101258;2011;4;9;J12-J18;SIH/SUS;PNEUMONIA
Araputanga;5101258;2011;5;7;J12-J18;SIH/SUS;PNEUMONIA
Araputanga;5101258;2011;6;6;J12-J18;SIH/SUS;PNEUMONIA
Araputanga;5101258;2011;7;1;J12-J18;SIH/SUS;PNEUMONIA
Araputanga;5101258;2011;8;7;J12-J18;SIH/SUS;PNEUMONIA
Araputanga;5101258;2011;9;5;J12-J18;SIH/SUS;PNEUMONIA
Araputanga;5101258;2011;10;5;J12-J18;SIH/SUS;PNEUMONIA
Araputanga;5101258;2011;11;6;J12-J18;SIH/SUS;PNEUMONIA
Araputanga;5101258;2011;12;2;J12-J18;SIH/SUS;PNEUMONIA
Araputanga;5101258;2012;1;5;J12-J18;SIH/SUS;PNEUMONIA
Araputanga;5101258;2012;2;2;J12-J18;SIH/SUS;PNEUMONIA
Araputanga;5101258;2012;3;5;J12-J18;SIH/SUS;PNEUMONIA
Araputanga;5101258;2012;4;6;J12-J18;SIH/SUS;PNEUMONIA
Araputanga;5101258;2012;5;7;J12-J18;SIH/SUS;PNEUMONIA
