municipio;codigo_ibge;ano;mes;valor;cid10;sistema;grupo_doenca
Araputanga;5101258;2010;1;10;N00-N39;SIH/SUS;RENAL-URINARIO
Araputanga;5101258;2010;2;6;N00-N39;SIH/SUS;RENAL-URINARIO
Araputanga;5101258;2010;3;6;N00-N39;SIH/SUS;RENAL-URINARIO
Araputanga;5101258;2010;4;15;N00-N39;SIH/SUS;RENAL-URINARIO
Araputanga;5101258;2010;5;5;N00-N39;SIH/SUS;RENAL-URINARIO
Araputanga;5101258;2010;6;5;N00-N39;SIH/SUS;RENAL-URINARIO
Araputanga;5101258;2010;7;4;N00-N39;SIH/SUS;RENAL-URINARIO
Araputanga;5101258;2010;8;6;N00-N39;SIH/SUS;RENAL-URINARIO
Araputanga;5101258;2010;9;8;N00-N39;SIH/SUS;RENAL-URINARIO
Araputanga;5101258;2010;10;8;N00-N39;SIH/SUS;RENAL-URINARIO
Araputanga;5101258;2010;11;5;N00-N39;SIH/SUS;RENAL-URINARIO
Araputanga;5101258;2010;12;5;N00-N39;SIH/SUS;RENAL-URINARIO
Araputanga;5101258;2011;1;7;N00-N39;SIH/SUS;RENAL-URINARIO
Araputanga;5101258;2011;2;6;N00-N39;SIH/SUS;RENAL-URINARIO
Araputanga;5101258;2011;3;4;N00-N39;SIH/SUS;RENAL-URINARIO
Araputanga;5101258;2011;4;14;N00-N39;SIH/SUS;RENAL-URINARIO
Araputanga;5101258;2011;5;7;N00-N39;SIH/SUS;RENAL-URINARIO
Araputanga;5101258;2011;6;5;N00-N39;SIH/SUS;RENAL-URINARIO
Araputanga;5101258;2011;7;8;N00-N39;SIH/SUS;RENAL-URINARIO
Araputanga;5101258;2011;8;5;N00-N39;SIH/SUS;RENAL-URINARIO
Araputanga;5101258;2011;9;6;N00-N39;SIH/SUS;RENAL-URINARIO
Araputanga;5101258;2011;10;8;N00-N39;SIH/SUS;RENAL-URINARIO
Araputanga;5101258;2011;11;6;N00-N39;SIH/SUS;RENAL-URINARIO
Araputanga;5101258;2011;12;7;N00-N39;SIH/SUS;RENAL-URINARIO
Araputanga;5101258;2012;1;9;N00-N39;SIH/SUS;RENAL-URINARIO
Araputanga;5101258;2012;2;11;N00-N39;SIH/SUS;RENAL-URINARIO
Araputanga;5101258;2012;3;2;N00-N39;SIH/SUS;RENAL-URINARIO
Araputanga;5101258;2012;4;4;N00-N39;SIH/SUS;RENAL-URINARIO
Araputanga;5101258;2012;5;5;N00-N39;SIH/SUS;RENAL-URINARIO
Araputanga;5101258;2012;6;11;N00-N39;SIH/SUS;RENAL-URINARIO
Araputanga;5101258;2012;7;11;N00-N39;SIH/SUS;RENAL-URINARIO
Araputanga;5101258;2012;8;11;N00-N39;SIH/SUS;RENAL-URINARIO
Araputanga;5101258;2012;9;13;N00-N39;SIH/SUS;RENAL-URINARIO
Araputanga;5101258;2012;10;12;N00-N39;SIH/SUS;RENAL-URINARIO
Araputanga;5101258;2012;11;8;N00-N39;SIH/SUS;RENAL-URINARIO
Araputanga;5101258;2012;12;10;N00-N39;SIH/SUS;RENAL-URINARIO
Araputanga;5101258;2013;1;14;N00-N39;SIH/SUS;RENAL-URINARIO
Araputanga;5101258;2013;2;15;N00-N39;SIH/SUS;RENAL-URINARIO
Araputanga;5101258;2013;3;9;N00-N39;SIH/SUS;RENAL-URINARIO
Araputanga;5101258;2013;4;9;N00-N39;SIH/SUS;RENAL-URINARIO
Araputanga;5101258;2013;5;3;N00-N39;SIH/SUS;RENAL-URINARIO
