municipio;codigo_ibge;ano;mes;valor;cid10;sistema;grupo_doenca
Araputanga;5101258;2010;0;1;N00-N39;SIM/DO;RENAL-URINARIO
Araputanga;5101258;2011;0;4;N00-N39;SIM/DO;RENAL-URINARIO
Araputanga;5101258;2012;0;2;N00-N39;SIM/DO;RENAL-URINARIO
Araputanga;5101258;2013;0;2;N00-N39;SIM/DO;RENAL-URINARIO
Araputanga;5101258;2014;0;1;N00-N39;SIM/DO;RENAL-URINARIO
Araputanga;5101258;2015;0;2;N00-N39;SIM/DO;RENAL-URINARIO
Araputanga;5101258;2016;0;1;N00-N39;SIM/DO;RENAL-URINARIO
Araputanga;5101258;2017;0;4;N00-N39;SIM/DO;RENAL-URINARIO
Araputanga;5101258;2018;0;3;N00-N39;SIM/DO;RENAL-URINARIO
Araputanga;5101258;2019;0;6;N00-N39;SIM/DO;RENAL-URINARIO
Araputanga;5101258;2021;0;4;N00-N39;SIM/DO;RENAL-URINARIO
Araputanga;5101258;2022;0;4;N00-N39;SIM/DO;RENAL-URINARIO
Araputanga;5101258;2023;0;4;N00-N39;SIM/DO;RENAL-URINARIO
Araputanga;5101258;2024;0;7;N00-N39;SIM/DO;RENAL-URINARIO
Cáceres;5102504;2010;0;15;N00-N39;SIM/DO;RENAL-URINARIO
Cáceres;5102504;2011;0;9;N00-N39;SIM/DO;RENAL-URINARIO
Cáceres;5102504;2012;0;10;N00-N39;SIM/DO;RENAL-URINARIO
Cáceres;5102504;2013;0;15;N00-N39;SIM/DO;RENAL-URINARIO
Cáceres;5102504;2014;0;15;N00-N39;SIM/DO;RENAL-URINARIO
Cáceres;5102504;2015;0;21;N00-N39;SIM/DO;RENAL-URINARIO
Cáceres;5102504;2016;0;22;N00-N39;SIM/DO;RENAL-URINARIO
Cáceres;5102504;2017;0;25;N00-N39;SIM/DO;RENAL-URINARIO
Cáceres;5102504;2018;0;35;N00-N39;SIM/DO;RENAL-URINARIO
Cáceres;5102504;2019;0;26;N00-N39;SIM/DO;RENAL-URINARIO
Cáceres;5102504;2020;0;27;N00-N39;SIM/DO;RENAL-URINARIO
Cáceres;5102504;2021;0;21;N00-N39;SIM/DO;RENAL-URINARIO
Cáceres;5102504;2022;0;33;N00-N39;SIM/DO;RENAL-URINARIO
Cáceres;5102504;2023;0;28;N00-N39;SIM/DO;RENAL-URINARIO
Cáceres;5102504;2024;0;34;N00-N39;SIM/DO;RENAL-URINARIO
Curvelândia;5103437;2010;0;1;N00-N39;SIM/DO;RENAL-URINARIO
Curvelândia;5103437;2012;0;1;N00-N39;SIM/DO;RENAL-URINARIO
Curvelândia;5103437;2013;0;1;N00-N39;SIM/DO;RENAL-URINARIO
Curvelândia;5103437;2015;0;1;N00-N39;SIM/DO;RENAL-URINARIO
Curvelândia;5103437;2017;0;2;N00-N39;SIM/DO;RENAL-URINARIO
Curvelândia;5103437;2018;0;1;N00-N39;SIM/DO;RENAL-URINARIO
Curvelândia;5103437;2020;0;1;N00-N39;SIM/DO;RENAL-URINARIO
Curvelândia;5103437;2021;0;3;N00-N39;SIM/DO;RENAL-URINARIO
Curvelândia;5103437;2022;0;2;N00-N39;SIM/DO;RENAL-URINARIO
Curvelândia;5103437;2023;0;2;N00-N39;SIM/DO;RENAL-URINARIO
Curvelândia;5103437;2024;0;1;N00-N39;SIM/DO;RENAL-URINARIO
Figueirópolis d'Oeste;5103809;2012;0;2;N00-N39;SIM/DO;RENAL-URINARIO
Figueirópolis d'Oeste;5103809;2013;0;1;N00-N39;SIM/DO;RENAL-URINARIO
Figueirópolis d'Oeste;5103809;2016;0;1;N00-N39;SIM/DO;RENAL-URINARIO
