municipio;codigo_ibge;ano;mes;valor;cid10;sistema;grupo_doenca
Araputanga;5101258;2010;1;6;J00-J99;SIH/SUS;RESPIRATORIO
Araputanga;5101258;2010;2;12;J00-J99;SIH/SUS;RESPIRATORIO
Araputanga;5101258;2010;3;13;J00-J99;SIH/SUS;RESPIRATORIO
Araputanga;5101258;2010;4;24;J00-J99;SIH/SUS;RESPIRATORIO
Araputanga;5101258;2010;5;21;J00-J99;SIH/SUS;RESPIRATORIO
Araputanga;5101258;2010;6;17;J00-J99;SIH/SUS;RESPIRATORIO
Araputanga;5101258;2010;7;12;J00-J99;SIH/SUS;RESPIRATORIO
Araputanga;5101258;2010;8;13;J00-J99;SIH/SUS;RESPIRATORIO
Araputanga;5101258;2010;9;9;J00-J99;SIH/SUS;RESPIRATORIO
Araputanga;5101258;2010;10;7;J00-J99;SIH/SUS;RESPIRATORIO
Araputanga;5101258;2010;11;16;J00-J99;SIH/SUS;RESPIRATORIO
Araputanga;5101258;2010;12;32;J00-J99;SIH/SUS;RESPIRATORIO
Araputanga;5101258;2011;1;13;J00-J99;SIH/SUS;RESPIRATORIO
Araputanga;5101258;2011;2;13;J00-J99;SIH/SUS;RESPIRATORIO
Araputanga;5101258;2011;3;22;J00-J99;SIH/SUS;RESPIRATORIO
Araputanga;5101258;2011;4;22;J00-J99;SIH/SUS;RESPIRATORIO
Araputanga;5101258;2011;5;20;J00-J99;SIH/SUS;RESPIRATORIO
Araputanga;5101258;2011;6;17;J00-J99;SIH/SUS;RESPIRATORIO
Araputanga;5101258;2011;7;8;J00-J99;SIH/SUS;RESPIRATORIO
Araputanga;5101258;2011;8;11;J00-J99;SIH/SUS;RESPIRATORIO
Araputanga;5101258;2011;9;16;J00-J99;SIH/SUS;RESPIRATORIO
Araputanga;5101258;2011;10;12;J00-J99;SIH/SUS;RESPIRATORIO
Araputanga;5101258;2011;11;9;J00-J99;SIH/SUS;RESPIRATORIO
Araputanga;5101258;2011;12;18;J00-J99;SIH/SUS;RESPIRATORIO
