municipio;codigo_ibge;ano;mes;valor;cid10;sistema;grupo_doenca
Araputanga;5101258;2010;0;7;J00-J99;SIM/DO;RESPIRATORIO
Araputanga;5101258;2011;0;5;J00-J99;SIM/DO;RESPIRATORIO
Araputanga;5101258;2012;0;11;J00-J99;SIM/DO;RESPIRATORIO
Araputanga;5101258;2013;0;6;J00-J99;SIM/DO;RESPIRATORIO
Araputanga;5101258;2014;0;9;J00-J99;SIM/DO;RESPIRATORIO
Araputanga;5101258;2015;0;9;J00-J99;SIM/DO;RESPIRATORIO
Araputanga;5101258;2016;0;11;J00-J99;SIM/DO;RESPIRATORIO
Araputanga;5101258;2017;0;13;J00-J99;SIM/DO;RESPIRATORIO
Araputanga;5101258;2018;0;7;J00-J99;SIM/DO;RESPIRATORIO
Araputanga;5101258;2019;0;7;J00-J99;SIM/DO;RESPIRATORIO
Araputanga;5101258;2020;0;7;J00-J99;SIM/DO;RESPIRATORIO
Araputanga;5101258;2021;0;7;J00-J99;SIM/DO;RESPIRATORIO
Araputanga;5101258;2022;0;8;J00-J99;SIM/DO;RESPIRATORIO
Araputanga;5101258;2023;0;18;J00-J99;SIM/DO;RESPIRATORIO
Araputanga;5101258;2024;0;12;J00-J99;SIM/DO;RESPIRATORIO
Cáceres;5102504;2010;0;54;J00-J99;SIM/DO;RESPIRATORIO
Cáceres;5102504;2011;0;56;J00-J99;SIM/DO;RESPIRATORIO
Cáceres;5102504;2012;0;46;J00-J99;SIM/DO;RESPIRATORIO
Cáceres;5102504;2013;0;49;J00-J99;SIM/DO;RESPIRATORIO
Cáceres;5102504;2014;0;42;J00-J99;SIM/DO;RESPIRATORIO
Cáceres;5102504;2015;0;61;J00-J99;SIM/DO;RESPIRATORIO
Cáceres;5102504;2016;0;64;J00-J99;SIM/DO;RESPIRATORIO
Cáceres;5102504;2017;0;48;J00-J99;SIM/DO;RESPIRATORIO
Cáceres;5102504;2018;0;66;J00-J99;SIM/DO;RESPIRATORIO
Cáceres;5102504;2019;0;60;J00-J99;SIM/DO;RESPIRATORIO
Cáceres;5102504;2020;0;80;J00-J99;SIM/DO;RESPIRATORIO
Cáceres;5102504;2021;0;43;J00-J99;SIM/DO;RESPIRATORIO
Cáceres;5102504;2022;0;59;J00-J99;SIM/DO;RESPIRATORIO
Cáceres;5102504;2023;0;84;J00-J99;SIM/DO;RESPIRATORIO
Cáceres;5102504;2024;0;88;J00-J99;SIM/DO;RESPIRATORIO
Curvelândia;5103437;2010;0;1;J00-J99;SIM/DO;RESPIRATORIO
Curvelândia;5103437;2011;0;2;J00-J99;SIM/DO;RESPIRATORIO
Curvelândia;5103437;2012;0;1;J00-J99;SIM/DO;RESPIRATORIO
Curvelândia;5103437;2014;0;2;J00-J99;SIM/DO;RESPIRATORIO
Curvelândia;5103437;2015;0;2;J00-J99;SIM/DO;RESPIRATORIO
Curvelândia;5103437;2016;0;4;J00-J99;SIM/DO;RESPIRATORIO
Curvelândia;5103437;2017;0;4;J00-J99;SIM/DO;RESPIRATORIO
Curvelândia;5103437;2018;0;4;J00-J99;SIM/DO;RESPIRATORIO
Curvelândia;5103437;2019;0;11;J00-J99;SIM/DO;RESPIRATORIO
Curvelândia;5103437;2020;0;5;J00-J99;SIM/DO;RESPIRATORIO
