municipio;codigo_ibge;ano;mes;valor;cid10;sistema;grupo_doenca
Cáceres;5102504;2011;1;1;F00-F99;SIH/SUS;TRANSTORNOS_MENTAIS
Cáceres;5102504;2011;3;2;F00-F99;SIH/SUS;TRANSTORNOS_MENTAIS
Cáceres;5102504;2011;4;2;F00-F99;SIH/SUS;TRANSTORNOS_MENTAIS
Cáceres;5102504;2011;5;1;F00-F99;SIH/SUS;TRANSTORNOS_MENTAIS
Cáceres;5102504;2011;7;1;F00-F99;SIH/SUS;TRANSTORNOS_MENTAIS
Cáceres;5102504;2011;10;2;F00-F99;SIH/SUS;TRANSTORNOS_MENTAIS
Cáceres;5102504;2011;11;2;F00-F99;SIH/SUS;TRANSTORNOS_MENTAIS
Cáceres;5102504;2012;1;1;F00-F99;SIH/SUS;TRANSTORNOS_MENTAIS
Cáceres;5102504;2012;2;1;F00-F99;SIH/SUS;TRANSTORNOS_MENTAIS
Cáceres;5102504;2012;3;4;F00-F99;SIH/SUS;TRANSTORNOS_MENTAIS
Cáceres;5102504;2012;5;2;F00-F99;SIH/SUS;TRANSTORNOS_MENTAIS
Cáceres;5102504;2012;6;3;F00-F99;SIH/SUS;TRANSTORNOS_MENTAIS
Cáceres;5102504;2012;7;3;F00-F99;SIH/SUS;TRANSTORNOS_MENTAIS
Cáceres;5102504;2012;8;4;F00-F99;SIH/SUS;TRANSTORNOS_MENTAIS
Cáceres;5102504;2012;9;3;F00-F99;SIH/SUS;TRANSTORNOS_MENTAIS
Cáceres;5102504;2013;1;1;F00-F99;SIH/SUS;TRANSTORNOS_MENTAIS
Cáceres;5102504;2013;3;2;F00-F99;SIH/SUS;TRANSTORNOS_MENTAIS
Cáceres;5102504;2013;4;1;F00-F99;SIH/SUS;TRANSTORNOS_MENTAIS
Cáceres;5102504;2013;5;7;F00-F99;SIH/SUS;TRANSTORNOS_MENTAIS
Cáceres;5102504;2013;6;4;F00-F99;SIH/SUS;TRANSTORNOS_MENTAIS
Cáceres;5102504;2013;7;3;F00-F99;SIH/SUS;TRANSTORNOS_MENTAIS
Cáceres;5102504;2013;9;4;F00-F99;SIH/SUS;TRANSTORNOS_MENTAIS
Cáceres;5102504;2013;10;1;F00-F99;SIH/SUS;TRANSTORNOS_MENTAIS
Cáceres;5102504;2013;11;3;F00-F99;SIH/SUS;TRANSTORNOS_MENTAIS
Cáceres;5102504;2013;12;2;F00-F99;SIH/SUS;TRANSTORNOS_MENTAIS
Cáceres;5102504;2014;1;1;F00-F99;SIH/SUS;TRANSTORNOS_MENTAIS
Cáceres;5102504;2014;2;1;F00-F99;SIH/SUS;TRANSTORNOS_MENTAIS
Cáceres;5102504;2014;4;1;F00-F99;SIH/SUS;TRANSTORNOS_MENTAIS
Cáceres;5102504;2014;5;1;F00-F99;SIH/SUS;TRANSTORNOS_MENTAIS
Cáceres;5102504;2014;6;4;F00-F99;SIH/SUS;TRANSTORNOS_MENTAIS
Cáceres;5102504;2014;8;3;F00-F99;SIH/SUS;TRANSTORNOS_MENTAIS
Cáceres;5102504;2014;10;1;F00-F99;SIH/SUS;TRANSTORNOS_MENTAIS
Cáceres;5102504;2014;11;2;F00-F99;SIH/SUS;TRANSTORNOS_MENTAIS
Cáceres;5102504;2015;1;1;F00-F99;SIH/SUS;TRANSTORNOS_MENTAIS
Cáceres;5102504;2015;2;2;F00-F99;SIH/SUS;TRANSTORNOS_MENTAIS
Cáceres;5102504;2015;3;1;F00-F99;SIH/SUS;TRANSTORNOS_MENTAIS
Cáceres;5102504;2015;4;4;F00-F99;SIH/SUS;TRANSTORNOS_MENTAIS
Cáceres;5102504;2015;5;1;F00-F99;SIH/SUS;TRANSTORNOS_MENTAIS
Cáceres;5102504;2015;6;1;F00-F99;SIH/SUS;TRANSTORNOS_MENTAIS
Cáceres;5102504;2015;7;2;F00-F99;SIH/SUS;TRANSTORNOS_MENTAIS
Cáceres;5102504;2015;8;1;F00-F99;SIH/SUS;TRANSTORNOS_MENTAIS
Cáceres;5102504;2015;10;2;F00-F99;SIH/SUS;TRANSTORNOS_MENTAIS
Cáceres;5102504;2015;11;1;F00-F99;SIH/SUS;TRANSTORNOS_MENTAIS
