municipio;codigo_ibge;ano;mes;valor;cid10;sistema;grupo_doenca
Araputanga;5101258;2011;0;3;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Araputanga;5101258;2013;0;1;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Araputanga;5101258;2014;0;1;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Araputanga;5101258;2017;0;1;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Araputanga;5101258;2018;0;2;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Araputanga;5101258;2019;0;6;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Araputanga;5101258;2020;0;2;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Araputanga;5101258;2021;0;4;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Araputanga;5101258;2022;0;1;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Araputanga;5101258;2024;0;1;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Cáceres;5102504;2010;0;4;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Cáceres;5102504;2011;0;8;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Cáceres;5102504;2012;0;5;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Cáceres;5102504;2013;0;7;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Cáceres;5102504;2014;0;13;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Cáceres;5102504;2015;0;14;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Cáceres;5102504;2016;0;19;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Cáceres;5102504;2017;0;15;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Cáceres;5102504;2018;0;17;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Cáceres;5102504;2019;0;14;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Cáceres;5102504;2020;0;14;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Cáceres;5102504;2021;0;25;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Cáceres;5102504;2022;0;12;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Cáceres;5102504;2023;0;18;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Cáceres;5102504;2024;0;14;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Curvelândia;5103437;2011;0;1;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Curvelândia;5103437;2012;0;1;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Curvelândia;5103437;2021;0;1;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Figueirópolis d'Oeste;5103809;2012;0;1;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Figueirópolis d'Oeste;5103809;2019;0;1;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Glória d'Oeste;5103957;2012;0;1;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Glória d'Oeste;5103957;2014;0;1;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Glória d'Oeste;5103957;2015;0;1;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Glória d'Oeste;5103957;2017;0;1;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Glória d'Oeste;5103957;2018;0;1;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Glória d'Oeste;5103957;2024;0;2;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Indiavaí;5104500;2011;0;1;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Indiavaí;5104500;2013;0;1;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Indiavaí;5104500;2014;0;1;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Indiavaí;5104500;2015;0;1;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Indiavaí;5104500;2016;0;1;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Indiavaí;5104500;2017;0;2;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Indiavaí;5104500;2020;0;1;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Jauru;5105002;2010;0;2;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Jauru;5105002;2011;0;1;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Jauru;5105002;2018;0;1;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Jauru;5105002;2022;0;1;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Jauru;5105002;2023;0;3;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Lambari d'Oeste;5105234;2010;0;1;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Lambari d'Oeste;5105234;2011;0;2;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Lambari d'Oeste;5105234;2012;0;2;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Lambari d'Oeste;5105234;2015;0;2;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Lambari d'Oeste;5105234;2023;0;1;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Lambari d'Oeste;5105234;2024;0;1;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Mirassol d'Oeste;5105622;2010;0;2;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Mirassol d'Oeste;5105622;2011;0;2;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Mirassol d'Oeste;5105622;2012;0;3;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Mirassol d'Oeste;5105622;2013;0;1;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Mirassol d'Oeste;5105622;2014;0;3;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Mirassol d'Oeste;5105622;2015;0;1;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Mirassol d'Oeste;5105622;2016;0;4;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Mirassol d'Oeste;5105622;2017;0;3;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Mirassol d'Oeste;5105622;2018;0;2;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Mirassol d'Oeste;5105622;2019;0;4;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Mirassol d'Oeste;5105622;2020;0;3;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Mirassol d'Oeste;5105622;2021;0;2;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Mirassol d'Oeste;5105622;2022;0;3;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Mirassol d'Oeste;5105622;2023;0;1;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Mirassol d'Oeste;5105622;2024;0;3;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Porto Esperidião;5106828;2010;0;4;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Porto Esperidião;5106828;2011;0;1;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Porto Esperidião;5106828;2012;0;1;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Porto Esperidião;5106828;2013;0;2;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Porto Esperidião;5106828;2015;0;2;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Porto Esperidião;5106828;2017;0;3;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Porto Esperidião;5106828;2019;0;2;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Porto Esperidião;5106828;2020;0;2;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Porto Esperidião;5106828;2024;0;3;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
São José dos Quatro Marcos;5107107;2010;0;1;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
São José dos Quatro Marcos;5107107;2011;0;2;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
São José dos Quatro Marcos;5107107;2012;0;1;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
São José dos Quatro Marcos;5107107;2013;0;3;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
São José dos Quatro Marcos;5107107;2014;0;1;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
São José dos Quatro Marcos;5107107;2016;0;1;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
São José dos Quatro Marcos;5107107;2017;0;1;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
São José dos Quatro Marcos;5107107;2018;0;4;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
São José dos Quatro Marcos;5107107;2019;0;1;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
São José dos Quatro Marcos;5107107;2022;0;1;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
São José dos Quatro Marcos;5107107;2023;0;3;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
São José dos Quatro Marcos;5107107;2024;0;2;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Reserva do Cabaçal;5107156;2021;0;1;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Reserva do Cabaçal;5107156;2023;0;1;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Rio Branco;5107208;2013;0;1;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Rio Branco;5107208;2016;0;1;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Rio Branco;5107208;2021;0;1;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Salto do Céu;5107776;2017;0;1;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
Salto do Céu;5107776;2019;0;1;F00-F99;SIM/DO;TRANSTORNOS-MENTAIS
